dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ast_sequence_token_band_set,ast_sequence_token_band_width,analysis_design_status
control,MalevichAI/malevich,2024-06,94,77,69,194,61,,0,0,,0,69.0,69.0,True,both,control,control,2,1,116,9163,254.0,12634.0,14384,3,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.762173934797756,9.123038043573386,5.541263545158426,1.3862943611198906,0.6931471805599453,0.0,1,1,1,1,0,MalevichAI/malevich,2024-06,23,16,7,1,0,0.6956521739130435,3.1780538303479453,2.833213344056216,2.0794415416798357,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MalevichAI/malevich,2024-07,34,33,31,186,48,,0,0,,0,31.0,31.0,True,both,control,control,0,0,43,23707,284.0,14019.0,16164,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.784189633918261,10.073567822907728,5.652489180268651,1.791759469228055,0.0,0.0,1,1,1,1,0,MalevichAI/malevich,2024-07,16,9,7,1,0,0.5625,2.833213344056216,2.3025850929940455,2.0794415416798357,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MalevichAI/malevich,2024-08,17,15,13,156,45,,0,0,,0,13.0,13.0,True,both,control,control,0,0,21,4076,315.0,14115.0,15701,4,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.091042453358316,8.313116702819253,5.755742213586912,1.6094379124341005,1.0986122886681096,0.0,1,1,1,1,0,MalevichAI/malevich,2024-08,7,1,6,1,0,0.14285714285714285,2.0794415416798357,0.6931471805599453,1.9459101490553132,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MalevichAI/malevich,2024-09,7,7,6,89,20,,0,0,,0,6.0,6.0,True,both,control,control,0,0,11,5676,346.0,14970.0,16529,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.4849066497880004,8.644178203170727,5.849324779946859,1.3862943611198906,0.0,0.0,1,1,1,1,0,MalevichAI/malevich,2024-09,5,4,1,1,0,0.8,1.791759469228055,1.6094379124341003,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MalevichAI/malevich,2024-10,4,2,2,19,4,,0,0,,0,2.0,2.0,True,both,control,control,0,0,4,4172,376.0,15058.0,16617,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6094379124341005,8.336390480591552,5.932245187448011,0.6931471805599453,0.0,0.0,1,1,1,1,0,MalevichAI/malevich,2024-10,3,1,2,1,0,0.3333333333333333,1.3862943611198906,0.6931471805599453,1.0986122886681096,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MalevichAI/malevich,2024-11,8,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,10,12151,407.0,15058.0,16617,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3978952727983707,9.405249044275608,6.0112671744041615,1.0986122886681096,0.0,0.0,1,1,0,0,0,MalevichAI/malevich,2024-11,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MingSun-Tse/LightAvatar-TensorFlow,2024-09,9,2,2,34,2,,0,0,,0,2.0,2.0,True,both,control,control,0,0,9,5466,0.0,1566.0,1468,1,13.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302585092994045,8.606485298894999,0.0,0.6931471805599453,2.6390573296152584,0.6931471805599453,1,1,1,1,0,MingSun-Tse/LightAvatar-TensorFlow,2024-09,4,2,2,1,0,0.5,1.6094379124341003,1.0986122886681096,1.0986122886681096,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MingSun-Tse/LightAvatar-TensorFlow,2024-10,1,1,1,25,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,2,1129,4.0,2147.0,2233,1,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0986122886681096,7.029972911706386,1.6094379124341005,0.6931471805599453,1.9459101490553128,0.6931471805599453,1,1,1,1,0,MingSun-Tse/LightAvatar-TensorFlow,2024-10,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MingSun-Tse/LightAvatar-TensorFlow,2024-11,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,1,35.0,2147.0,2233,1,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.6931471805599453,3.58351893845611,0.6931471805599453,1.791759469228055,0.0,1,1,0,0,0,MingSun-Tse/LightAvatar-TensorFlow,2024-11,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,MrTimonM/Arichain-Bot,2025-01,10,2,1,7,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,10,341,0.0,186.0,186,1,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3978952727983707,5.834810737062605,0.0,0.6931471805599453,1.9459101490553128,1.0986122886681096,1,1,0,0,0,MrTimonM/Arichain-Bot,2025-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
