dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ast_sequence_token_band_set,ast_sequence_token_band_width,analysis_design_status
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,2,604.0,410.0,408,1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,1.0986122886681096,6.405228458030841,0.6931471805599453,1.3862943611198906,0.0,1,1,0,0,0,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2024-11,3,1,1,60,6,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,12969,0.0,1469.0,1545,2,32.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,9.47039427731049,0.0,1.0986122886681096,3.49650756146648,0.6931471805599453,1,1,1,1,0,AkariAsai/ScholarQABench,2024-11,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-02,7,1,1,7,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,7,2632,73.0,1602.0,1714,2,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.079441541679836,7.875879159496309,4.304065093204169,1.0986122886681096,2.079441541679836,0.0,1,1,0,0,0,AkariAsai/ScholarQABench,2025-02,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-04,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,202,132.0,1602.0,1714,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,5.313205979041787,4.890349128221754,0.6931471805599453,0.6931471805599453,1.0986122886681096,1,1,0,0,0,AkariAsai/ScholarQABench,2025-04,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-07,3,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,3,13,223.0,1602.0,1714,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,2.6390573296152584,5.41164605185504,0.6931471805599453,0.6931471805599453,0.0,1,1,0,0,0,AkariAsai/ScholarQABench,2025-07,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-08,2,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,6,254.0,1602.0,1714,1,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,1.9459101490553128,5.541263545158426,0.6931471805599453,1.0986122886681096,0.0,1,1,0,0,0,AkariAsai/ScholarQABench,2025-08,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-09,20,16,6,27,5,,0,0,,0,6.0,6.0,True,both,control,control,0,0,20,4392,0.0,779.0,741,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.044522437723423,8.38776764397578,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2024-09,3,1,2,1,0,0.3333333333333333,1.3862943611198906,0.6931471805599453,1.0986122886681096,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-10,22,18,13,16,4,,0,0,,0,13.0,13.0,True,both,control,control,0,0,22,3962,0.0,1027.0,981,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.1354942159291497,8.284756593190435,0.0,0.6931471805599453,0.0,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2024-10,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-11,13,10,5,7,4,,0,0,,0,5.0,5.0,True,both,control,control,0,0,13,1776,0.0,1416.0,1416,1,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6390573296152584,7.482681828154651,0.0,0.6931471805599453,2.197224577336219,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2024-11,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-12,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,1,28.0,1416.0,1416,1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.6931471805599453,3.3672958299864737,0.6931471805599453,1.3862943611198906,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2024-12,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-01,5,5,3,15,3,,0,0,,0,3.0,3.0,True,both,control,control,0,0,5,1438,59.0,1740.0,1744,1,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.791759469228055,7.271703706887368,4.0943445622221,0.6931471805599453,1.9459101490553128,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2025-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-02,18,15,13,128,9,,0,0,,0,13.0,13.0,True,both,control,control,0,0,19,52835,90.0,3309.0,3871,2,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.995732273553991,10.874948055543754,4.51085950651685,1.0986122886681096,1.6094379124341005,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-02,4,1,3,1,0,0.25,1.6094379124341003,0.6931471805599453,1.3862943611198906,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-03,13,10,7,36,6,,0,0,,0,7.0,7.0,True,both,control,control,0,0,18,6354,118.0,3626.0,4192,2,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.9444389791664403,8.756997183623554,4.77912349311153,1.0986122886681096,1.3862943611198906,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2025-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-04,1,1,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,212,149.0,3626.0,4192,2,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,5.361292165709425,5.010635294096256,1.0986122886681096,1.0986122886681096,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2025-04,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-05,1,1,1,1,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,2,108,179.0,3626.0,4192,2,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0986122886681096,4.691347882229144,5.19295685089021,1.0986122886681096,1.0986122886681096,1.6094379124341005,1,1,0,0,0,ArpiarSaundersLab/annsql,2025-05,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-01,158,25,17,15,4,,0,0,,0,17.0,17.0,True,both,control,control,2,1,217,54678,356.0,8586.0,8337,14,0.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.384495062789089,10.90923500244827,5.877735781779639,2.70805020110221,0.0,3.332204510175204,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-02,118,13,13,13,4,,0,0,,0,13.0,13.0,True,both,control,control,0,0,161,30806,387.0,8686.0,8441,12,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.087596335232384,10.335497215866404,5.961005339623274,2.5649493574615367,0.0,1.6094379124341005,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-02,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-03,205,44,38,22,5,,0,0,,0,38.0,38.0,True,both,control,control,2,1,290,44398,416.0,8859.0,8626,15,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.673323267171492,10.700972225644158,6.0330862217988015,2.772588722239781,0.0,1.791759469228055,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-03,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-04,225,45,19,14,6,,0,0,,0,19.0,19.0,True,both,control,control,0,0,290,59021,447.0,9240.0,8984,22,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.673323267171492,10.985665534740813,6.104793232414985,3.1354942159291497,0.0,2.4849066497880004,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-04,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-05,245,52,31,21,9,,0,0,,0,31.0,31.0,True,both,control,control,0,0,317,72580,477.0,9349.0,9096,21,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.762051382780177,11.192458458572396,6.169610732491456,3.091042453358316,0.0,2.079441541679836,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-05,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-06,241,36,19,19,7,,0,0,,0,19.0,19.0,True,both,control,control,2,1,321,107979,508.0,9596.0,9357,20,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.7745515455444085,11.589701303772278,6.2324480165505225,3.044522437723423,0.6931471805599453,2.5649493574615367,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-06,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-07,227,36,18,10,4,,0,0,,0,18.0,18.0,True,both,control,control,0,0,330,59619,538.0,9726.0,9489,23,1.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.802118375377063,10.995746367232062,6.289715570908997,3.1780538303479453,0.6931471805599453,2.772588722239781,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-07,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-08,189,9,7,7,4,,0,0,,0,7.0,7.0,True,both,control,control,0,0,265,76868,569.0,9852.0,9609,22,1.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.583496308781699,11.249857953282364,6.345636360828595,3.1354942159291497,0.6931471805599453,3.2580965380214817,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-08,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-09,215,21,15,15,6,,0,0,,0,15.0,15.0,True,both,control,control,0,0,307,51857,600.0,9775.0,9529,23,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.730099782973574,10.856264492980692,6.398594934535208,3.1780538303479453,0.0,2.4849066497880004,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-09,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-10,262,8,7,2,2,,0,0,,0,7.0,7.0,True,both,control,control,0,0,363,393407,630.0,9856.0,9614,23,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.8971538676367405,12.882602520266682,6.447305862541213,3.1780538303479453,0.0,2.4849066497880004,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-10,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-11,100,21,11,16,7,,0,0,,0,11.0,11.0,True,both,control,control,0,0,143,61666,661.0,10036.0,9803,16,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.969813299576001,11.029504220783148,6.495265555937008,2.833213344056216,0.0,2.70805020110221,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-11,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2024-12,235,15,9,25,21,,0,0,,0,9.0,9.0,True,both,control,control,0,0,338,283247,691.0,10087.0,9855,23,1.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.82600010738045,12.55407811796506,6.539585955617669,3.1780538303479453,0.6931471805599453,2.9444389791664403,1,1,0,0,0,BalancerMaxis/multisig-ops,2024-12,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-01,223,18,17,12,4,,0,0,,0,17.0,17.0,True,both,control,control,0,0,306,126765,722.0,10101.0,9869,19,0.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.726847747587197,11.750098146228364,6.583409222158765,2.995732273553991,0.0,3.1780538303479453,1,1,0,0,0,BalancerMaxis/multisig-ops,2025-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-02,241,26,21,16,4,,0,0,,0,21.0,21.0,True,both,control,control,0,0,328,68568,753.0,10293.0,10061,16,1.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.796057750765372,11.135595816534908,6.625392368007956,2.833213344056216,0.6931471805599453,2.833213344056216,1,1,0,0,0,BalancerMaxis/multisig-ops,2025-02,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-03,218,27,16,36,15,,0,0,,0,16.0,16.0,True,both,control,control,0,0,301,83164,781.0,10683.0,10454,18,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.71042701737487,11.328581865224637,6.661854740545311,2.9444389791664403,0.6931471805599453,1.6094379124341005,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-03,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-04,290,16,14,8,6,,0,0,,0,14.0,14.0,True,both,control,control,0,0,395,61038,812.0,10729.0,10499,21,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.981414211254481,11.019268283124273,6.70073110954781,3.091042453358316,0.0,2.772588722239781,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-04,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-05,272,16,12,3,1,,0,0,,0,12.0,12.0,True,both,control,control,0,0,362,132168,842.0,10867.0,10635,23,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.8944028342648505,11.791836685709765,6.736966958001855,3.1780538303479453,0.0,2.197224577336219,1,1,0,0,0,BalancerMaxis/multisig-ops,2025-05,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-06,234,30,22,17,6,,0,0,,0,22.0,22.0,True,both,control,control,0,0,317,52495,873.0,10917.0,10685,22,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.762051382780177,10.868492255200882,6.773080375655535,3.1354942159291497,0.0,2.5649493574615367,1,1,0,0,0,BalancerMaxis/multisig-ops,2025-06,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-07,230,14,9,21,7,,0,0,,0,9.0,9.0,True,both,control,control,0,0,336,134844,903.0,11037.0,10832,23,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.820082930352362,11.811881249645385,6.806829360392176,3.1780538303479453,0.0,2.5649493574615367,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-07,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BalancerMaxis/multisig-ops,2025-08,363,47,25,31,6,,0,0,,0,25.0,25.0,True,both,control,control,0,0,450,134589,934.0,11252.0,11047,25,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.111467339502678,11.80998839922776,6.840546529288687,3.2580965380214817,0.0,2.6390573296152584,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-08,4,0,4,1,0,0.0,1.6094379124341003,0.0,1.6094379124341003,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2024-11,16,1,1,17,3,,0,0,,0,1.0,1.0,True,both,control,control,0,0,16,1781,0.0,786.0,275,2,20.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833213344056216,7.485491608030754,0.0,1.0986122886681096,3.044522437723423,1.0986122886681096,1,1,0,0,0,Benzauber/convert-commander,2024-11,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2024-12,3,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,3,4,24.0,786.0,275,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,1.6094379124341005,3.218875824868201,0.6931471805599453,0.0,0.0,1,1,0,0,0,Benzauber/convert-commander,2024-12,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2025-01,3,1,1,14,5,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,1116,55.0,1246.0,455,2,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,7.018401799069201,4.025351690735149,1.0986122886681096,2.70805020110221,0.0,1,1,0,0,0,Benzauber/convert-commander,2025-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2025-03,6,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,7,327,114.0,1351.0,455,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079441541679836,5.793013608384143,4.74493212836325,1.0986122886681096,0.0,0.0,1,1,0,0,0,Benzauber/convert-commander,2025-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2025-05,5,2,1,1,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,5,120,175.0,1305.0,422,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.791759469228055,4.795790545596741,5.170483995038151,1.0986122886681096,0.6931471805599453,0.0,1,1,0,0,0,Benzauber/convert-commander,2025-05,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2025-06,2,1,1,5,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,185,206.0,1339.0,450,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,5.225746673713201,5.332718793265369,1.0986122886681096,0.6931471805599453,0.6931471805599453,1,1,0,0,0,Benzauber/convert-commander,2025-06,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2025-07,2,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,203,236.0,1339.0,450,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,5.318119993844216,5.468060141135131,0.6931471805599453,0.6931471805599453,0.0,1,1,0,0,0,Benzauber/convert-commander,2025-07,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,Benzauber/convert-commander,2025-08,3,2,2,11,2,,0,0,,0,2.0,2.0,True,both,control,control,0,0,3,686,267.0,1728.0,586,2,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,6.532334292222349,5.5909869805108565,1.0986122886681096,1.0986122886681096,0.0,1,1,0,0,0,Benzauber/convert-commander,2025-08,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BiancoChiu/iOSRealRun-cli-18,2024-02,14,5,4,25,9,,0,0,,0,4.0,4.0,True,both,control,control,0,0,14,461,0.0,303.0,307,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221,6.135564891081739,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,BiancoChiu/iOSRealRun-cli-18,2024-02,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BiancoChiu/iOSRealRun-cli-18,2024-03,3,1,1,1,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,13,0.0,303.0,307,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,2.6390573296152584,0.0,1.0986122886681096,0.0,0.0,1,1,0,0,0,BiancoChiu/iOSRealRun-cli-18,2024-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BiancoChiu/iOSRealRun-cli-18,2025-02,6,4,4,5,3,,0,0,,0,4.0,4.0,True,both,control,control,0,0,6,168,0.0,326.0,330,1,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.9459101490553128,5.1298987149230735,0.0,0.6931471805599453,2.6390573296152584,0.0,1,1,0,0,0,BiancoChiu/iOSRealRun-cli-18,2025-02,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BiancoChiu/iOSRealRun-cli-18,2025-03,3,1,1,2,2,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,8,9.0,326.0,330,1,23.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,2.197224577336219,2.302585092994045,0.6931471805599453,3.1780538303479453,1.3862943611198906,1,1,0,0,0,BiancoChiu/iOSRealRun-cli-18,2025-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BiancoChiu/iOSRealRun-cli-18,2025-05,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,3,70.0,326.0,330,1,11.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,1.3862943611198906,4.262679877041316,0.6931471805599453,2.4849066497880004,2.079441541679836,1,1,0,0,0,BiancoChiu/iOSRealRun-cli-18,2025-05,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,BiancoChiu/iOSRealRun-cli-18,2025-06,2,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,6,101.0,326.0,330,1,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,1.9459101490553128,4.624972813284271,0.6931471805599453,1.6094379124341005,1.3862943611198906,1,1,0,0,0,BiancoChiu/iOSRealRun-cli-18,2025-06,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,C4NU/Paddie,2024-01,6,6,6,8,6,,0,0,,0,6.0,6.0,True,both,control,control,0,0,7,106,82.0,1432.0,1436,3,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079441541679836,4.672828834461906,4.418840607796597,1.3862943611198906,1.6094379124341005,1.791759469228055,1,1,1,1,0,C4NU/Paddie,2024-01,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,C4NU/Paddie,2024-02,5,5,5,5,3,,0,0,,0,5.0,5.0,True,both,control,control,0,0,5,88,113.0,1456.0,1460,3,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.791759469228055,4.48863636973214,4.736198448394496,1.3862943611198906,1.3862943611198906,0.0,1,1,0,0,0,C4NU/Paddie,2024-02,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
