dataset_source,repo_name,candidate_ref,timezone_mode,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,total_absolute_count_delta,perfect_panel_match
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/a11y/add-aria-live-regions,america_chicago,5772,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/a11y/add-aria-live-regions,original_local,5772,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/a11y/add-aria-live-regions,utc,5772,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/add-mojeek-search-engine-v2,america_chicago,5089,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/add-mojeek-search-engine-v2,original_local,5089,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/add-mojeek-search-engine-v2,utc,5089,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/main,america_chicago,7176,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/main,original_local,7176,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/main,utc,7176,7,7,7,7,0,1
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/fix/cross-engine-filter-json-parsing,america_chicago,1945,7,6,7,6,1,0
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/fix/cross-engine-filter-json-parsing,original_local,1945,7,6,7,6,1,0
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/fix/cross-engine-filter-json-parsing,utc,1945,7,6,7,6,1,0
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/fix/cross-engine-filter-json-parsing,commit_embedded_offset,1945,7,2,3,2,7,0
treatment,LearningCircuit/local-deep-research,HEAD,commit_embedded_offset,7176,7,1,3,1,8,0
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/LearningCircuit-patch-1,commit_embedded_offset,5105,7,1,3,1,8,0
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/a11y/add-aria-live-regions,commit_embedded_offset,5772,7,1,3,1,8,0
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/add-mojeek-search-engine-v2,commit_embedded_offset,5089,7,1,3,1,8,0
treatment,LearningCircuit/local-deep-research,refs/remotes/origin/main,commit_embedded_offset,7176,7,1,3,1,8,0
treatment,OpenSPP/openspp-modules,HEAD,america_chicago,3972,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,HEAD,original_local,3972,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/17.0,america_chicago,3972,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/17.0,original_local,3972,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/386-modify-module-openspp-programs,america_chicago,3952,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/386-modify-module-openspp-programs,original_local,3952,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/archiving-fix,america_chicago,3972,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/archiving-fix,original_local,3972,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/area-import-improvements,america_chicago,3981,20,20,20,20,0,1
