excluded_top_treatment_repositories,excluded_treatment_repository_names,treatment_period,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
2,getsentry/sentry;allthingslinux/tux,treatment_all,55652,50951,105069,105069,89402,194471,253,200,53,235,814,77,182718,227,0.0945945945945946,0.004612274538281879,0.0019035110260876187,0.0005928279009418134,0.0013009651824693656,0.0012423516019220875
2,getsentry/sentry;allthingslinux/tux,treatment_pre_event,26345,24524,47823,47823,40807,88630,38,25,13,36,396,21,84278,34,0.05303030303030303,0.0014679497634969825,0.0005227610145745771,0.00031857279388340236,0.00042874873067809996,0.00040342675431310663
2,getsentry/sentry;allthingslinux/tux,treatment_event_month,6829,6364,13890,13890,11089,24979,50,42,8,44,98,11,22111,46,0.11224489795918367,0.0069138906348208675,0.003023758099352052,0.0007214356569573452,0.0020016814123864045,0.002080412464384243
2,getsentry/sentry;allthingslinux/tux,treatment_post_event,22478,20063,43356,43356,37506,80862,165,133,32,155,320,45,76405,147,0.140625,0.007725664157902607,0.0030676261647753483,0.0008531968218418387,0.002040513467388885,0.001923957856161246
2,getsentry/sentry;allthingslinux/tux,treatment_event_and_post,29307,26427,57246,57246,48595,105841,215,175,40,199,418,56,98472,193,0.1339712918660287,0.007530177470011731,0.0030569821472242603,0.0008231299516411153,0.0020313489101576893,0.001959948005524413
3,getsentry/sentry;allthingslinux/tux;trycua/cua,treatment_all,54376,49894,103718,103718,88408,192126,199,148,51,186,806,72,180584,174,0.08933002481389578,0.0037279031546879385,0.0014269461424246514,0.0005768708714143516,0.0010357786036247047,0.0009635405130022593
3,getsentry/sentry;allthingslinux/tux;trycua/cua,treatment_pre_event,26307,24496,47823,47823,40807,88630,38,25,13,36,394,21,84278,34,0.0532994923857868,0.0014696276943174395,0.0005227610145745771,0.00031857279388340236,0.00042874873067809996,0.00040342675431310663
3,getsentry/sentry;allthingslinux/tux;trycua/cua,treatment_event_month,6709,6271,13653,13653,10998,24651,50,42,8,44,97,11,21803,46,0.1134020618556701,0.007016424812629565,0.0030762469786860033,0.0007274049827241316,0.0020283152813273296,0.0021098014034765856
3,getsentry/sentry;allthingslinux/tux;trycua/cua,treatment_post_event,21360,19127,42242,42242,36603,78845,111,81,30,106,315,40,74579,94,0.12698412698412698,0.005541904114602395,0.0019175228445622839,0.0008196049504139005,0.0014078254803728835,0.0012604084259644137
3,getsentry/sentry;allthingslinux/tux;trycua/cua,treatment_event_and_post,28069,25398,55895,55895,47601,103496,161,123,38,150,412,51,96338,140,0.12378640776699029,0.005905976848570754,0.0022005546113248054,0.0007983025566689775,0.0015556156759681534,0.0014532167991861986
