dataset_source,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
control,111950,107762,40808,40808,32918,73726,258,168,90,213,780,61,68058,229,0.0782051282051282,0.0019765780145134648,0.004116839835326407,0.0027340664681936933,0.0034994438868241867,0.0033647771018836875
treatment,85903,80587,171216,171216,151344,322560,939,842,97,713,853,102,309585,909,0.11957796014067995,0.008847580875327285,0.004917764694888328,0.0006409239877365472,0.0029110863095238096,0.0029361887688356993
