check,value
input_panel_rows,1633
merged_rows,1633
row_count_preserved,1
repos,220
treatment_rows,853
control_rows,780
treatment_repos,100
control_repos,120
min_time,2024-01
max_time,2025-08
duplicate_repo_time_source_rows,0
missing_sonarqube_latest_commit,0
ncloc_raw_nonmissing,1604
ncloc_raw_missing,29
bugs_raw_nonmissing,1626
bugs_raw_missing,7
vulnerabilities_raw_nonmissing,1626
vulnerabilities_raw_missing,7
code_smells_raw_nonmissing,1626
code_smells_raw_missing,7
duplicated_lines_density_raw_nonmissing,1604
duplicated_lines_density_raw_missing,29
comment_lines_density_raw_nonmissing,1604
comment_lines_density_raw_missing,29
cognitive_complexity_raw_nonmissing,1603
cognitive_complexity_raw_missing,30
technical_debt_raw_nonmissing,1626
technical_debt_raw_missing,7
static_analysis_warnings_nonmissing,1626
static_analysis_warnings_missing,7
duplicate_line_density_nonmissing,1604
duplicate_line_density_missing,29
code_complexity_nonmissing,1603
code_complexity_missing,30
warnings_per_kloc_nonmissing,1604
warnings_per_kloc_missing,29
complexity_per_kloc_nonmissing,1603
complexity_per_kloc_missing,30
code_smells_per_kloc_nonmissing,1604
code_smells_per_kloc_missing,29
sonarqube_any_raw_metric_missing_sum,30
sonarqube_all_raw_metrics_missing_sum,7
sonarqube_ncloc_zero_sum,0
sonarqube_static_warnings_missing_sum,7
sonarqube_duplicate_density_missing_sum,29
sonarqube_cognitive_complexity_missing_sum,30
sonarqube_quality_outcomes_complete_sum,1603
run_py_2c_panel_variant,strict
run_py_2c_rows,1633
run_py_2c_repos,220
run_py_2c_treatment_rows,853
run_py_2c_control_rows,780
run_py_2c_treatment_repos,100
run_py_2c_control_repos,120
run_py_2c_sonarqube_all_raw_metrics_missing_rows,7
run_py_2c_sonarqube_ncloc_zero_rows,0
run_py_2c_static_warnings_missing_rows,7
run_py_2c_duplicate_density_missing_rows,29
run_py_2c_cognitive_complexity_missing_rows,30
run_py_2c_quality_outcomes_complete_rows,1603
