repo_name,status,target_dir,note,status_norm
MIT-Emerging-Talent/ET6-edXtras,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,already_has_git_dir,skipped_existing
Makopolo/megascan_houdini20.0_USD_plugin,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Makopolo_megascan_houdini20.0_USD_plugin,already_has_git_dir,skipped_existing
MalevichAI/malevich,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,already_has_git_dir,skipped_existing
MingSun-Tse/LightAvatar-TensorFlow,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MingSun-Tse_LightAvatar-TensorFlow,already_has_git_dir,skipped_existing
MrTimonM/Arichain-Bot,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MrTimonM_Arichain-Bot,already_has_git_dir,skipped_existing
NVIDIA/cuEquivariance,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NVIDIA_cuEquivariance,already_has_git_dir,skipped_existing
NiceRingNode/LGGPT,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NiceRingNode_LGGPT,already_has_git_dir,skipped_existing
OSU-NLP-Group/HippoRAG,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/OSU-NLP-Group_HippoRAG,already_has_git_dir,skipped_existing
PennyLaneAI/catalyst,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PennyLaneAI_catalyst,already_has_git_dir,skipped_existing
PhilNad/robot-arm-kinematic-calibration,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PhilNad_robot-arm-kinematic-calibration,already_has_git_dir,skipped_existing
PiotrMachowski/Home-Assistant-custom-components-TGE,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PiotrMachowski_Home-Assistant-custom-components-TGE,already_has_git_dir,skipped_existing
PromtEngineer/localGPT,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PromtEngineer_localGPT,already_has_git_dir,skipped_existing
R0uter/ss.conf-for-surge,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/R0uter_ss.conf-for-surge,already_has_git_dir,skipped_existing
Retmon403/cs2_cheats_for_python,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Retmon403_cs2_cheats_for_python,already_has_git_dir,skipped_existing
RobinWu218/ToST,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/RobinWu218_ToST,already_has_git_dir,skipped_existing
SEU-ProactiveSecurity-Group/LLM-PD,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/SEU-ProactiveSecurity-Group_LLM-PD,already_has_git_dir,skipped_existing
Scholar01/sd-webui-bg-mask,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Scholar01_sd-webui-bg-mask,already_has_git_dir,skipped_existing
Simatwa/free-proxies,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,already_has_git_dir,skipped_existing
The-Compiler/pytest-vw,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/The-Compiler_pytest-vw,already_has_git_dir,skipped_existing
The-WhiteRabbit/dnfm_server,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/The-WhiteRabbit_dnfm_server,already_has_git_dir,skipped_existing
TheFocusedCoder/api-agent,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/TheFocusedCoder_api-agent,already_has_git_dir,skipped_existing
TianxingChen/RoboTwin,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/TianxingChen_RoboTwin,already_has_git_dir,skipped_existing
VirtualFlow/VFVS,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/VirtualFlow_VFVS,already_has_git_dir,skipped_existing
Wang-ML-Lab/unified-continual-learning,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Wang-ML-Lab_unified-continual-learning,already_has_git_dir,skipped_existing
YangDi666/UNIK,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/YangDi666_UNIK,already_has_git_dir,skipped_existing
adelatour11/androidtvbackground,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/adelatour11_androidtvbackground,already_has_git_dir,skipped_existing
ahmetozlu/color_recognition,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ahmetozlu_color_recognition,already_has_git_dir,skipped_existing
aio-libs/aiohttp,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aio-libs_aiohttp,already_has_git_dir,skipped_existing
aj47/100x-orchestrator,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,already_has_git_dir,skipped_existing
ali-bahrainian/RAG_best_practices,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ali-bahrainian_RAG_best_practices,already_has_git_dir,skipped_existing
anujshah1003/Tensorboard-own-image-data-image-features-embedding-visualization,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/anujshah1003_Tensorboard-own-image-data-image-features-embedding-visualization,already_has_git_dir,skipped_existing
autti/abraham,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/autti_abraham,already_has_git_dir,skipped_existing
aws-samples/aws-dms-cdc-data-pipeline,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aws-samples_aws-dms-cdc-data-pipeline,already_has_git_dir,skipped_existing
aws/nova-act,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aws_nova-act,already_has_git_dir,skipped_existing
baaivision/EVE,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/baaivision_EVE,already_has_git_dir,skipped_existing
bannsec/stegoVeritas,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bannsec_stegoVeritas,already_has_git_dir,skipped_existing
believethehype/nostrdvm,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/believethehype_nostrdvm,already_has_git_dir,skipped_existing
bobokun/actualtap-py,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bobokun_actualtap-py,already_has_git_dir,skipped_existing
bropines/chrome-lens-py,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bropines_chrome-lens-py,already_has_git_dir,skipped_existing
caffeinedoom/reconthing,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/caffeinedoom_reconthing,already_has_git_dir,skipped_existing
chenjie/PyTorch-CIFAR-10-autoencoder,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/chenjie_PyTorch-CIFAR-10-autoencoder,already_has_git_dir,skipped_existing
chrisyy2003/nonebot-plugin-gpt3,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/chrisyy2003_nonebot-plugin-gpt3,already_has_git_dir,skipped_existing
cyb3rfortr3ss/ByDeF,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/cyb3rfortr3ss_ByDeF,already_has_git_dir,skipped_existing
davidhandsome86/LLM_RAG,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/davidhandsome86_LLM_RAG,already_has_git_dir,skipped_existing
daxa-ai/pebblo,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/daxa-ai_pebblo,already_has_git_dir,skipped_existing
dimatura/pypcd,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dimatura_pypcd,already_has_git_dir,skipped_existing
