section,metric,value,note
input,missing_control_repositories,9,Unique controls marked expected_control_clone_missing by run-x-a01.
mode,dry_run,0,1 means remotes were checked but clone directories were not created.
result,valid_control_repositories_after,7,Required controls verified as local Git repositories after this run.
result,unresolved_control_repositories_after,2,Required controls still unavailable or invalid after this run.
skip_list,extra_repositories_to_skip,8,Cloned repositories outside the current matching.csv scope.
skip_list,extra_treatment_repositories_to_skip,8,Treatment clones not represented as treatment rows in matching.csv.
skip_list,extra_control_repositories_to_skip,0,Control clones not selected by the cloned treatment scope.
clone_status,cloned,7,
clone_status,remote_unavailable,2,
