dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,function_change_events_manifest,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,agc_function_change_event_ratio,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,unique_changed_functions_scored,detection_complete,detector_merge_status,has_function_change_event,zero_function_event_month,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,ratio_sample
control,BalancerMaxis/multisig-ops,2024-08,189,9,7,9,5,4,7,4,,0,0,,0,7.0,7.0,9.0,9.0,0.0,1.0,8.0,0.1111111111111111,1.0,4.0,0.0,4.0,7.0,True,both,1,0,control,control,0,0,2.302585092994046,0.6931471805599453,2.19722457733622,569.0,9852.0,9609,22,1.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.345636360828595,3.1354942159291497,0.6931471805599453,3.2580965380214817,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-08,1
control,BalancerMaxis/multisig-ops,2024-09,215,21,15,23,0,23,15,6,,0,0,,0,15.0,15.0,23.0,23.0,0.0,3.0,20.0,0.1304347826086956,0.0,0.0,3.0,20.0,15.0,True,both,1,0,control,control,0,0,3.1780538303479458,1.3862943611198906,3.044522437723423,600.0,9775.0,9529,23,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.398594934535208,3.1780538303479453,0.0,2.4849066497880004,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-09,1
control,BalancerMaxis/multisig-ops,2024-10,262,8,7,7,1,6,2,2,,0,0,,0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,6.0,2.0,True,both,1,0,control,control,0,0,2.079441541679836,0.0,2.079441541679836,630.0,9856.0,9614,23,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.447305862541213,3.1780538303479453,0.0,2.4849066497880004,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-10,1
control,BalancerMaxis/multisig-ops,2024-11,100,21,11,25,11,14,16,7,,0,0,,0,11.0,11.0,25.0,25.0,0.0,2.0,23.0,0.08,1.0,10.0,1.0,13.0,16.0,True,both,1,0,control,control,0,0,3.258096538021482,1.0986122886681096,3.1780538303479458,661.0,10036.0,9803,16,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.495265555937008,2.833213344056216,0.0,2.70805020110221,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-11,1
control,BalancerMaxis/multisig-ops,2024-12,235,15,9,27,6,21,25,21,,0,0,,0,9.0,9.0,27.0,27.0,0.0,2.0,25.0,0.074074074074074,2.0,4.0,0.0,21.0,25.0,True,both,1,0,control,control,0,0,3.332204510175204,1.0986122886681096,3.258096538021482,691.0,10087.0,9855,23,1.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.539585955617669,3.1780538303479453,0.6931471805599453,2.9444389791664403,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-12,1
control,BalancerMaxis/multisig-ops,2025-01,223,18,17,24,2,22,12,4,,0,0,,0,17.0,17.0,24.0,24.0,0.0,3.0,21.0,0.125,1.0,1.0,2.0,20.0,12.0,True,both,1,0,control,control,0,0,3.218875824868201,1.3862943611198906,3.091042453358316,722.0,10101.0,9869,19,0.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.583409222158765,2.995732273553991,0.0,3.1780538303479453,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-01,1
control,BalancerMaxis/multisig-ops,2025-02,241,26,21,33,3,30,16,4,,0,0,,0,21.0,21.0,33.0,33.0,0.0,2.0,31.0,0.0606060606060606,0.0,3.0,2.0,28.0,16.0,True,both,1,0,control,control,0,0,3.5263605246161616,1.0986122886681096,3.4657359027997265,753.0,10293.0,10061,16,1.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.625392368007956,2.833213344056216,0.6931471805599453,2.833213344056216,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-02,1
control,BalancerMaxis/multisig-ops,2025-03,218,27,16,59,4,55,36,15,,0,0,,0,16.0,16.0,59.0,59.0,0.0,5.0,54.0,0.0847457627118644,1.0,3.0,4.0,51.0,36.0,True,both,1,0,control,control,0,0,4.0943445622221,1.791759469228055,4.007333185232471,781.0,10683.0,10454,18,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.661854740545311,2.9444389791664403,0.6931471805599453,1.6094379124341003,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-03,1
control,BalancerMaxis/multisig-ops,2025-04,290,16,14,16,2,14,8,6,,0,0,,0,14.0,14.0,16.0,16.0,0.0,1.0,15.0,0.0625,1.0,1.0,0.0,14.0,8.0,True,both,1,0,control,control,0,0,2.833213344056216,0.6931471805599453,2.772588722239781,812.0,10729.0,10499,21,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.70073110954781,3.0910424533583156,0.0,2.772588722239781,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-04,1
control,BalancerMaxis/multisig-ops,2025-05,272,16,12,14,2,12,3,1,,0,0,,0,12.0,12.0,14.0,14.0,0.0,1.0,13.0,0.0714285714285714,1.0,1.0,0.0,12.0,3.0,True,both,1,0,control,control,0,0,2.70805020110221,0.6931471805599453,2.639057329615259,842.0,10867.0,10635,23,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.736966958001855,3.1780538303479453,0.0,2.197224577336219,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-05,1
control,BalancerMaxis/multisig-ops,2025-06,234,30,22,35,5,30,17,6,,0,0,,0,22.0,22.0,35.0,35.0,0.0,5.0,30.0,0.1428571428571428,2.0,3.0,3.0,27.0,17.0,True,both,1,0,control,control,0,0,3.58351893845611,1.791759469228055,3.4339872044851463,873.0,10917.0,10685,22,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.773080375655535,3.1354942159291497,0.0,2.5649493574615367,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-06,1
control,BalancerMaxis/multisig-ops,2025-07,230,14,9,22,14,8,21,7,,0,0,,0,9.0,9.0,22.0,22.0,0.0,7.0,15.0,0.3181818181818182,6.0,8.0,1.0,7.0,21.0,True,both,1,0,control,control,0,0,3.1354942159291497,2.079441541679836,2.772588722239781,903.0,11037.0,10832,23,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.806829360392176,3.1780538303479453,0.0,2.5649493574615367,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-07,1
control,BalancerMaxis/multisig-ops,2025-08,363,47,25,66,36,30,31,6,,0,0,,0,25.0,25.0,66.0,66.0,0.0,8.0,58.0,0.1212121212121212,6.0,30.0,2.0,28.0,31.0,True,both,1,0,control,control,0,0,4.204692619390966,2.19722457733622,4.07753744390572,934.0,11252.0,11047,25,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.8405465292886865,3.2580965380214817,0.0,2.6390573296152584,1,1,1,1,0,BalancerMaxis/multisig-ops,2025-08,1
control,Benzauber/convert-commander,2024-11,16,1,1,17,17,0,17,3,,0,0,,0,1.0,1.0,17.0,17.0,0.0,5.0,12.0,0.2941176470588235,5.0,12.0,0.0,0.0,17.0,True,both,1,0,control,control,0,0,2.8903717578961645,1.791759469228055,2.5649493574615367,0.0,786.0,275,2,20.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0986122886681096,3.044522437723423,1.0986122886681096,1,1,1,1,0,Benzauber/convert-commander,2024-11,1
control,Benzauber/convert-commander,2025-01,3,1,1,14,4,10,14,5,,0,0,,0,1.0,1.0,14.0,14.0,0.0,5.0,9.0,0.3571428571428571,4.0,0.0,1.0,9.0,14.0,True,both,1,0,control,control,0,0,2.70805020110221,1.791759469228055,2.302585092994046,55.0,1246.0,455,2,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.025351690735149,1.0986122886681096,2.70805020110221,0.0,1,1,1,1,0,Benzauber/convert-commander,2025-01,1
control,Benzauber/convert-commander,2025-05,5,2,1,1,1,0,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.6931471805599453,0.0,175.0,1305.0,422,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.170483995038151,1.0986122886681096,0.6931471805599453,0.0,1,1,1,1,0,Benzauber/convert-commander,2025-05,1
control,Benzauber/convert-commander,2025-06,2,1,1,5,2,3,5,1,,0,0,,0,1.0,1.0,5.0,5.0,0.0,3.0,2.0,0.6,2.0,0.0,1.0,2.0,5.0,True,both,1,0,control,control,0,0,1.791759469228055,1.3862943611198906,1.0986122886681096,206.0,1339.0,450,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.332718793265369,1.0986122886681096,0.6931471805599453,0.6931471805599453,1,1,1,1,0,Benzauber/convert-commander,2025-06,1
control,Benzauber/convert-commander,2025-08,3,2,2,11,7,4,11,2,,0,0,,0,2.0,2.0,11.0,11.0,0.0,5.0,6.0,0.4545454545454545,4.0,3.0,1.0,3.0,11.0,True,both,1,0,control,control,0,0,2.4849066497880004,1.791759469228055,1.9459101490553128,267.0,1728.0,586,2,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.5909869805108565,1.0986122886681096,1.0986122886681096,0.0,1,1,1,1,0,Benzauber/convert-commander,2025-08,1
control,BiancoChiu/iOSRealRun-cli-18,2024-02,14,5,4,29,25,4,25,9,,0,0,,0,4.0,4.0,29.0,29.0,0.0,16.0,13.0,0.5517241379310345,13.0,12.0,3.0,1.0,25.0,True,both,1,0,control,control,0,0,3.4011973816621555,2.833213344056216,2.639057329615259,0.0,303.0,307,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,BiancoChiu/iOSRealRun-cli-18,2024-02,1
control,BiancoChiu/iOSRealRun-cli-18,2024-03,3,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453,0.0,303.0,307,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,BiancoChiu/iOSRealRun-cli-18,2024-03,1
control,BiancoChiu/iOSRealRun-cli-18,2025-02,6,4,4,8,1,7,5,3,,0,0,,0,4.0,4.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,7.0,5.0,True,both,1,0,control,control,0,0,2.19722457733622,0.0,2.19722457733622,0.0,326.0,330,1,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.6931471805599453,2.6390573296152584,0.0,1,1,1,1,0,BiancoChiu/iOSRealRun-cli-18,2025-02,1
control,BiancoChiu/iOSRealRun-cli-18,2025-03,3,1,1,2,0,2,2,2,,0,0,,0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,2.0,True,both,1,0,control,control,0,0,1.0986122886681096,0.6931471805599453,0.6931471805599453,9.0,326.0,330,1,23.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.3025850929940455,0.6931471805599453,3.1780538303479453,1.3862943611198906,1,1,1,1,0,BiancoChiu/iOSRealRun-cli-18,2025-03,1
control,C4NU/Paddie,2024-01,6,6,6,10,0,10,8,6,,0,0,,0,6.0,6.0,10.0,10.0,0.0,1.0,9.0,0.1,0.0,0.0,1.0,9.0,8.0,True,both,1,0,control,control,0,0,2.3978952727983707,0.6931471805599453,2.302585092994046,82.0,1432.0,1436,3,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.418840607796597,1.3862943611198906,1.6094379124341003,1.791759469228055,1,1,1,1,0,C4NU/Paddie,2024-01,1
control,C4NU/Paddie,2024-02,5,5,5,7,0,7,5,3,,0,0,,0,5.0,5.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,5.0,True,both,1,0,control,control,0,0,2.079441541679836,0.0,2.079441541679836,113.0,1456.0,1460,3,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.736198448394496,1.3862943611198906,1.3862943611198906,0.0,1,1,1,1,0,C4NU/Paddie,2024-02,1
control,C4NU/Paddie,2024-03,5,5,5,14,1,13,11,5,,0,0,,0,5.0,5.0,14.0,14.0,0.0,4.0,10.0,0.2857142857142857,1.0,0.0,3.0,10.0,11.0,True,both,1,0,control,control,0,0,2.70805020110221,1.6094379124341005,2.3978952727983707,142.0,1455.0,1459,2,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.962844630259907,1.0986122886681096,1.6094379124341003,0.0,1,1,1,1,0,C4NU/Paddie,2024-03,1
control,C4NU/Paddie,2025-03,26,13,12,174,154,20,158,24,,0,0,,0,12.0,12.0,174.0,174.0,0.0,77.0,97.0,0.4425287356321839,75.0,79.0,2.0,18.0,158.0,True,both,1,0,control,control,0,0,5.1647859739235145,4.356708826689592,4.584967478670572,507.0,1614.0,1828,2,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.230481447578482,1.0986122886681096,1.3862943611198906,1.791759469228055,1,1,1,1,0,C4NU/Paddie,2025-03,1
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,73,25,7,311,307,4,212,14,,0,0,,0,7.0,7.0,311.0,311.0,0.0,92.0,219.0,0.2958199356913183,92.0,215.0,0.0,4.0,212.0,True,both,1,0,control,control,0,0,5.7430031878094825,4.532599493153256,5.393627546352361,0.0,6044.0,4098,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,1
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-08,12,10,2,4,4,0,2,2,,0,0,,0,2.0,2.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,True,both,1,0,control,control,0,0,1.6094379124341005,1.6094379124341005,0.0,0.0,6349.0,4403,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-08,1
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-09,15,10,5,10,10,0,2,2,,0,0,,0,5.0,5.0,10.0,10.0,0.0,10.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,True,both,1,0,control,control,0,0,2.3978952727983707,2.3978952727983707,0.0,0.0,6778.0,4832,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-09,1
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-10,210,40,6,208,195,13,112,5,,0,0,,0,6.0,6.0,208.0,208.0,0.0,61.0,147.0,0.2932692307692308,61.0,134.0,0.0,13.0,112.0,True,both,1,0,control,control,0,0,5.342334251964811,4.127134385045092,4.997212273764115,147.0,7312.0,5401,1,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.997212273764115,0.6931471805599453,1.3862943611198906,1.0986122886681096,1,1,1,1,0,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-10,1
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-03,63,9,5,377,376,1,255,17,,0,0,,0,5.0,5.0,377.0,377.0,0.0,108.0,269.0,0.2864721485411141,108.0,268.0,0.0,1.0,255.0,True,both,1,0,control,control,0,0,5.934894195619588,4.691347882229144,5.598421958998375,298.0,7328.0,5709,1,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.700443573390686,0.6931471805599453,1.9459101490553132,1.3862943611198906,1,1,1,1,0,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-03,1
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-08,56,5,5,142,62,80,141,8,,0,0,,0,5.0,5.0,142.0,142.0,0.0,23.0,119.0,0.1619718309859155,9.0,53.0,14.0,66.0,141.0,True,both,1,0,control,control,0,0,4.962844630259907,3.1780538303479458,4.787491742782046,451.0,7598.0,6648,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.113682179832231,0.6931471805599453,0.6931471805599453,0.6931471805599453,1,1,1,1,0,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-08,1
control,EURAC-EEBgroup/brick-llm,2024-09,2,1,1,27,27,0,27,4,,0,0,,0,1.0,1.0,27.0,27.0,0.0,10.0,17.0,0.3703703703703703,10.0,17.0,0.0,0.0,27.0,True,both,1,0,control,control,0,0,3.332204510175204,2.3978952727983707,2.8903717578961645,0.0,458.0,445,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,EURAC-EEBgroup/brick-llm,2024-09,1
control,EURAC-EEBgroup/brick-llm,2024-10,49,32,24,160,42,118,61,18,,0,0,,0,24.0,24.0,160.0,160.0,0.0,61.0,99.0,0.38125,23.0,19.0,38.0,80.0,61.0,True,both,1,0,control,control,0,0,5.081404364984463,4.127134385045092,4.605170185988092,0.0,1032.0,1239,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.3862943611198906,0.0,0.0,1,1,1,1,0,EURAC-EEBgroup/brick-llm,2024-10,1
control,EURAC-EEBgroup/brick-llm,2024-11,40,7,4,17,4,13,15,12,,0,0,,0,4.0,4.0,17.0,17.0,0.0,3.0,14.0,0.1764705882352941,2.0,2.0,1.0,12.0,15.0,True,both,1,0,control,control,0,0,2.8903717578961645,1.3862943611198906,2.70805020110221,0.0,1164.0,1372,3,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.3862943611198906,2.5649493574615367,0.6931471805599453,1,1,1,1,0,EURAC-EEBgroup/brick-llm,2024-11,1
control,EURAC-EEBgroup/brick-llm,2024-12,7,7,4,11,1,10,9,9,,0,0,,0,4.0,4.0,11.0,11.0,0.0,2.0,9.0,0.1818181818181818,0.0,1.0,2.0,8.0,9.0,True,both,1,0,control,control,0,0,2.4849066497880004,1.0986122886681096,2.302585092994046,25.0,1212.0,1429,1,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.2580965380214817,0.6931471805599453,1.3862943611198906,1.0986122886681096,1,1,1,1,0,EURAC-EEBgroup/brick-llm,2024-12,1
