dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,function_change_events_manifest,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,agc_function_change_event_ratio,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,unique_changed_functions_scored,detection_complete,detector_merge_status,has_function_change_event,zero_function_event_month,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,ratio_sample
control,AkariAsai/ScholarQABench,2024-11,3,1,1,60,60,0,60,6,,0,0,,0,1.0,1.0,60.0,60.0,0.0,19.0,41.0,0.3166666666666666,19.0,41.0,0.0,0.0,60.0,True,both,1,0,control,control,0,0,4.110873864173311,2.995732273553991,3.737669618283368,0.0,1469.0,1545,2,32.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0986122886681096,3.4965075614664802,0.6931471805599453,1,1,1,1,0,AkariAsai/ScholarQABench,2024-11,1
control,AkariAsai/ScholarQABench,2025-02,7,1,1,7,7,0,7,1,,0,0,,0,1.0,1.0,7.0,7.0,0.0,1.0,6.0,0.1428571428571428,1.0,6.0,0.0,0.0,7.0,True,both,1,0,control,control,0,0,2.079441541679836,0.6931471805599453,1.9459101490553128,73.0,1602.0,1714,2,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.304065093204169,1.0986122886681096,2.0794415416798357,0.0,1,1,1,1,0,AkariAsai/ScholarQABench,2025-02,1
control,ArpiarSaundersLab/annsql,2024-09,20,16,6,48,27,21,27,5,,0,0,,0,6.0,6.0,48.0,48.0,0.0,14.0,34.0,0.2916666666666667,10.0,17.0,4.0,17.0,27.0,True,both,1,0,control,control,0,0,3.8918202981106265,2.70805020110221,3.555348061489413,0.0,779.0,741,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2024-09,1
control,ArpiarSaundersLab/annsql,2024-10,22,18,13,36,10,26,16,4,,0,0,,0,13.0,13.0,36.0,36.0,0.0,2.0,34.0,0.0555555555555555,1.0,9.0,1.0,25.0,16.0,True,both,1,0,control,control,0,0,3.610917912644224,1.0986122886681096,3.555348061489413,0.0,1027.0,981,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2024-10,1
control,ArpiarSaundersLab/annsql,2024-11,13,10,5,9,3,6,7,4,,0,0,,0,5.0,5.0,9.0,9.0,0.0,3.0,6.0,0.3333333333333333,2.0,1.0,1.0,5.0,7.0,True,both,1,0,control,control,0,0,2.302585092994046,1.3862943611198906,1.9459101490553128,0.0,1416.0,1416,1,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.6931471805599453,2.197224577336219,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2024-11,1
control,ArpiarSaundersLab/annsql,2025-01,5,5,3,17,14,3,15,3,,0,0,,0,3.0,3.0,17.0,17.0,0.0,1.0,16.0,0.0588235294117647,1.0,13.0,0.0,3.0,15.0,True,both,1,0,control,control,0,0,2.8903717578961645,0.6931471805599453,2.833213344056216,59.0,1740.0,1744,1,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.0943445622221,0.6931471805599453,1.9459101490553132,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-01,1
control,ArpiarSaundersLab/annsql,2025-02,18,15,13,190,91,99,128,9,,0,0,,0,13.0,13.0,190.0,190.0,0.0,79.0,111.0,0.4157894736842105,47.0,44.0,32.0,67.0,128.0,True,both,1,0,control,control,0,0,5.25227342804663,4.382026634673881,4.718498871295094,90.0,3309.0,3871,2,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.51085950651685,1.0986122886681096,1.6094379124341003,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-02,1
control,ArpiarSaundersLab/annsql,2025-03,13,10,7,51,17,34,36,6,,0,0,,0,7.0,7.0,51.0,51.0,0.0,26.0,25.0,0.5098039215686274,15.0,2.0,11.0,23.0,36.0,True,both,1,0,control,control,0,0,3.951243718581428,3.295836866004329,3.258096538021482,118.0,3626.0,4192,2,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.77912349311153,1.0986122886681096,1.3862943611198906,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-03,1
control,ArpiarSaundersLab/annsql,2025-05,1,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453,179.0,3626.0,4192,2,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.19295685089021,1.0986122886681096,1.0986122886681096,1.6094379124341003,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-05,1
control,BalancerMaxis/multisig-ops,2024-02,118,13,13,25,5,20,13,4,,0,0,,0,13.0,13.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,5.0,0.0,20.0,13.0,True,both,1,0,control,control,0,0,3.258096538021482,0.0,3.258096538021482,387.0,8686.0,8441,12,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.961005339623274,2.5649493574615367,0.0,1.6094379124341003,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-02,1
control,BalancerMaxis/multisig-ops,2024-04,225,45,19,30,4,26,14,6,,0,0,,0,19.0,19.0,30.0,30.0,0.0,3.0,27.0,0.1,0.0,4.0,3.0,23.0,14.0,True,both,1,0,control,control,0,0,3.4339872044851463,1.3862943611198906,3.332204510175204,447.0,9240.0,8984,22,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.104793232414985,3.1354942159291497,0.0,2.4849066497880004,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-04,1
control,BalancerMaxis/multisig-ops,2024-05,245,52,31,58,4,54,21,9,,0,0,,0,31.0,31.0,58.0,58.0,0.0,0.0,58.0,0.0,0.0,4.0,0.0,54.0,21.0,True,both,1,0,control,control,0,0,4.07753744390572,0.0,4.07753744390572,477.0,9349.0,9096,21,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.1696107324914555,3.0910424533583156,0.0,2.0794415416798357,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-05,1
control,BalancerMaxis/multisig-ops,2024-07,227,36,18,20,2,18,10,4,,0,0,,0,18.0,18.0,20.0,20.0,0.0,6.0,14.0,0.3,2.0,0.0,4.0,14.0,10.0,True,both,1,0,control,control,0,0,3.044522437723423,1.9459101490553128,2.70805020110221,538.0,9726.0,9489,23,1.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.289715570908997,3.1780538303479453,0.6931471805599453,2.772588722239781,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-07,1
