dataset_source,rows,repos,mean_commits,mean_lines_added,mean_log_commits,mean_log_lines_added,mean_contributors_log
treatment,853,100,100.706916764361,33642.2180539273,3.37369498275051,8.02270245858185,1.58466553429477
control,780,120,143.525641025641,181267.212820513,2.84269971544393,6.72724858064882,1.27627947768349
