analysis_group,rows,count_available_rows,positive_denominator_rows,total_changed_blocks,minimum,p25,median,p75,p90,p95,maximum
control,780,680,489,41372,1.0,5.0,19.0,79.0,193.2,304.7999999999987,2055.0
treatment_post,432,394,324,61542,1.0,15.0,55.5,162.25,367.79999999999995,761.299999999996,5286.0
treatment_pre,421,369,314,60626,1.0,17.25,54.5,142.0,436.8999999999999,854.8999999999961,3861.0
