metric,exists,nonmissing,missing,mean,median,min,max,zero_count
ncloc_raw,1,1605,28,57103.653582554514,7639.0,4.0,2038242.0,0
bugs_raw,1,1627,6,39.83712354025814,4.0,0.0,2278.0,407
vulnerabilities_raw,1,1627,6,7.885064535955747,1.0,0.0,165.0,800
code_smells_raw,1,1627,6,954.8463429625077,115.0,0.0,40938.0,62
duplicated_lines_density_raw,1,1605,28,6.362305295950156,2.6,0.0,94.5,455
comment_lines_density_raw,1,1605,28,15.322803738317758,12.5,0.0,47.7,10
cognitive_complexity_raw,1,1604,29,5169.276184538653,927.0,0.0,113904.0,2
technical_debt_raw,1,1627,6,6056.897357098956,727.0,0.0,243108.0,62
static_analysis_warnings,1,1627,6,1002.5685310387215,128.0,0.0,43220.0,56
duplicate_line_density,1,1605,28,6.362305295950156,2.6,0.0,94.5,455
code_complexity,1,1604,29,5169.276184538653,927.0,0.0,113904.0,2
warnings_per_kloc,1,1605,28,26.959110242889142,16.239687364307425,0.0,759.3860684769776,34
complexity_per_kloc,1,1604,29,142.12774866639117,115.5039235908083,0.0,2494.6076976353024,2
code_smells_per_kloc,1,1605,28,24.657314210889925,15.299724103335842,0.0,757.9693034238488,40
sonarqube_any_raw_metric_missing,1,1633,0,0.017758726270667484,0.0,0.0,1.0,1604
sonarqube_all_raw_metrics_missing,1,1633,0,0.003674219228413962,0.0,0.0,1.0,1627
sonarqube_ncloc_zero,1,1633,0,0.0,0.0,0.0,0.0,1633
sonarqube_static_warnings_missing,1,1633,0,0.003674219228413962,0.0,0.0,1.0,1627
sonarqube_duplicate_density_missing,1,1633,0,0.017146356399265157,0.0,0.0,1.0,1605
sonarqube_cognitive_complexity_missing,1,1633,0,0.017758726270667484,0.0,0.0,1.0,1604
sonarqube_quality_outcomes_complete,1,1633,0,0.9822412737293326,1.0,0.0,1.0,29
