min_function_lines,excluded_line_span_max,is_primary,baseline_event_positive_repo_months,retained_event_positive_repo_months,newly_zero_eligible_repo_months
1,0,False,1289,1289,0
2,1,False,1289,1288,1
3,2,False,1289,1288,1
4,3,False,1289,1286,3
5,4,False,1289,1285,4
6,5,True,1289,1283,6
10,9,False,1289,1271,18
20,19,False,1289,1242,47
