line_size_bin,events,agc_events,hwc_events,min_line_count,max_line_count,median_line_count,share_of_total,agc_ratio
1,307,294,13,1,1,1.0,0.0006813924376537018,0.9576547231270358
2,18637,17262,1375,2,2,2.0,0.04136518195619557,0.9262220314428288
3-8,95526,47707,47819,3,8,5.0,0.21202180455800493,0.49941377216673993
9-10,25438,6412,19026,9,10,9.0,0.05646013299359891,0.25206384149697303
11-20,99081,15033,84048,11,20,15.0,0.21991219581487434,0.15172434674660126
21-50,133109,7738,125371,21,50,31.0,0.29543799994673153,0.05813280845021749
51-100,53446,1990,51456,51,100,66.0,0.11862443069328907,0.03723384350559443
101-200,19089,727,18362,101,200,125.0,0.04236840469827854,0.03808476085703808
>=201,5915,440,5475,201,17744,289.0,0.013128456901373438,0.07438715131022823
