function_line_count,events,agc_events,hwc_events,repositories,share_of_total,cumulative_events_le,cumulative_share_le,agc_ratio
311,10,3,7,5,2.2195193408915365e-05,447956,0.9942470058684091,0.3
312,13,0,13,5,2.8853751431589976e-05,447969,0.9942758596198408,0.0
313,8,1,7,5,1.775615472713229e-05,447977,0.9942936157745679,0.125
314,15,2,13,8,3.329279011337305e-05,447992,0.9943269085646812,0.13333333333333333
315,7,0,7,5,1.5536635386240755e-05,447999,0.9943424452000674,0.0
316,14,0,14,7,3.107327077248151e-05,448013,0.99437351847084,0.0
317,6,3,3,4,1.331711604534922e-05,448019,0.9943868355868853,0.5
318,10,0,10,6,2.2195193408915365e-05,448029,0.9944090307802942,0.0
319,9,0,9,4,1.9975674068023828e-05,448038,0.9944290064543623,0.0
320,8,0,8,4,1.775615472713229e-05,448046,0.9944467626090894,0.0
321,11,1,10,7,2.4414712749806902e-05,448057,0.9944711773218392,0.09090909090909091
322,11,1,10,9,2.4414712749806902e-05,448068,0.994495592034589,0.09090909090909091
323,5,0,5,4,1.1097596704457683e-05,448073,0.9945066896312934,0.0
324,5,0,5,4,1.1097596704457683e-05,448078,0.9945177872279979,0.0
325,14,0,14,8,3.107327077248151e-05,448092,0.9945488604987703,0.0
326,14,2,12,8,3.107327077248151e-05,448106,0.9945799337695429,0.14285714285714285
327,7,0,7,5,1.5536635386240755e-05,448113,0.9945954704049291,0.0
328,11,0,11,6,2.4414712749806902e-05,448124,0.994619885117679,0.0
329,6,0,6,5,1.331711604534922e-05,448130,0.9946332022337243,0.0
330,18,0,18,6,3.9951348136047657e-05,448148,0.9946731535818603,0.0
331,10,1,9,3,2.2195193408915365e-05,448158,0.9946953487752692,0.1
332,7,0,7,5,1.5536635386240755e-05,448165,0.9947108854106554,0.0
333,13,0,13,3,2.8853751431589976e-05,448178,0.994739739162087,0.0
334,8,0,8,4,1.775615472713229e-05,448186,0.9947574953168142,0.0
335,8,0,8,3,1.775615472713229e-05,448194,0.9947752514715413,0.0
336,10,0,10,6,2.2195193408915365e-05,448204,0.9947974466649503,0.0
337,13,0,13,5,2.8853751431589976e-05,448217,0.9948263004163819,0.0
