outcome,term,estimate,std_error,conf_low,conf_high,p_value,note,outcome_label,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
has_function_change_event,treat,0.0951374273439956,0.0495101710906425,-0.00190250799366379,0.192177362681655,,Borusyak static treatment effect,Any Function-Change Event,50-59,50,60,bounded_band,full,paper,calendar_month,all,strict_band_50_59_full_paper_ncloc_calendar_month_all
log1p_function_change_events,treat,0.126322439459378,0.157014512804997,-0.181426005638417,0.434070884557172,,Borusyak static treatment effect,Total Function-Change Events (log1p),50-59,50,60,bounded_band,full,paper,calendar_month,all,strict_band_50_59_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,treat,0.0705035705344556,0.148352393108745,-0.220267119958684,0.361274261027595,,Borusyak static treatment effect,AGC-Like Function-Change Events (log1p),50-59,50,60,bounded_band,full,paper,calendar_month,all,strict_band_50_59_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,treat,0.136517919566067,0.106996787278496,-0.0731957834997843,0.346231622631919,,Borusyak static treatment effect,HWC-Like Function-Change Events (log1p),50-59,50,60,bounded_band,full,paper,calendar_month,all,strict_band_50_59_full_paper_ncloc_calendar_month_all
