dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.408244680851064,0.782135535721267,0.682359885297167,0.340892433754208,0.772333021609345,2.84209052561109,6.78725604489432,17487.1329787234,50-59,50,60,bounded_band,full,paper,calendar_month,all,strict_band_50_59_full_paper_ncloc_calendar_month_all
treatment,844,100,0.590047393364929,1.30735135532452,1.19889158718059,0.517747930035057,0.825044790927897,3.3907790093758,8.05450751245183,99249.2168246446,50-59,50,60,bounded_band,full,paper,calendar_month,all,strict_band_50_59_full_paper_ncloc_calendar_month_all
