repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages,status,target_dir,note,event_month,panel_first_month,panel_latest_month,panel_month_count,min_relative_month,max_relative_month,pre_panel_months,event_months,post_panel_months,balanced_window,adoption_month,adoption_date,adoption_commit,confidence,evidence_paths,event_month_clean,adoption_month_clean,month_difference,event_month_match,match_status
1mrat/cursor-taskrunner,Python,13,4.0,1.0,27458.0,Python: 4996,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,already_has_git_dir,2024-08,2024-08,2024-08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-08,2024-08-06,538924ea4aa38844f13087b2293ec10fb426482d,high,.cursorrules,2024-08,2024-08,0,True,matched
Altinity/clickhouse-grafana,Python,739,1809.0,33.0,1989751.0,Python: 456153; TypeScript: 376675; Go: 208210; Shell: 4461; JavaScript: 4262; Dockerfile: 1840; CSS: 89,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Altinity_clickhouse-grafana,already_has_git_dir,2024-04,2024-01,2025-08,20.0,-3.0,16.0,3.0,1.0,16.0,3.0,2024-04,2024-04-28,1df89e363e2a4f6140f8989afb6374ea96227af1,high,.cursorignore,2024-04,2024-04,0,True,matched
Anemll/Anemll,Python,307,8.0,1.0,2542.0,Python: 252255; Shell: 19620,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,already_has_git_dir,2025-02,2025-02,2025-07,6.0,0.0,5.0,0.0,1.0,5.0,0.0,2025-02,2025-02-08,e53105d98664acff2e33121bb69e78c7ce647d40,high,.cursor/rules,2025-02,2025-02,0,True,matched
Apocrathia/home-assistant-config,Python,182,1000.0,9.0,3652.0,Python: 2728; C++: 2037; Shell: 983,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,already_has_git_dir,2025-02,2024-01,2025-08,20.0,-13.0,6.0,13.0,1.0,6.0,6.0,2025-02,2025-02-17,6094e420724b395dfa9d2b01d8e799b188be2da9,high,.cursor/rules/homeassistant.mdc,2025-02,2025-02,0,True,matched
Aronnaxx/Behold-Urwar-Droid-Concepts,Python,14,64.0,1.0,18131.0,Python: 168252; HTML: 133404; JavaScript: 24660; CSS: 11080,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Aronnaxx_Behold-Urwar-Droid-Concepts,already_has_git_dir,2025-03,2025-03,2025-08,6.0,0.0,5.0,0.0,1.0,5.0,0.0,2025-03,2025-03-24,9e3949c2296e1c87916b3bf0a3c1b9799b861998,high,.cursorignore,2025-03,2025-03,0,True,matched
AttackIQ/DetectIQ,Python,101,36.0,1.0,16575.0,Python: 386470; TypeScript: 155128; JavaScript: 2064; Makefile: 1322; Shell: 613; CSS: 374,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/AttackIQ_DetectIQ,already_has_git_dir,2024-11,2024-11,2024-12,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2024-11,2024-11-25,65572965f499b127dacba914ac44a0d70d8268be,high,.cursorignore,2024-11,2024-11,0,True,matched
ChatFAQ/ChatFAQ,Python,128,1391.0,8.0,14270.0,Python: 1066102; Vue: 363332; SCSS: 43290; JavaScript: 37927; Dockerfile: 5938; TypeScript: 2181; Makefile: 1927; Shell: 989,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ChatFAQ_ChatFAQ,already_has_git_dir,2024-09,2024-02,2025-03,14.0,-7.0,6.0,7.0,1.0,6.0,6.0,2024-09,2024-09-16,0037655ec471168dde27a9d197b4d39eceabdf82,high,.cursorignore,2024-09,2024-09,0,True,matched
Chocksy/qc-options-framework,Python,14,100.0,3.0,497.0,Python: 706400; Jupyter Notebook: 2105; Shell: 1163,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Chocksy_qc-options-framework,already_has_git_dir,2025-03,2024-04,2025-03,12.0,-11.0,0.0,11.0,1.0,0.0,0.0,2025-03,2025-03-21,8dfbfe3e378f1a8b2e6b4d912b2c96896efbac79,high,.cursor/rules/cursor-rules-location.mdc;.cursor/rules/how-to-summarize-docs.mdc;.cursor/rules/python-code-style.mdc,2025-03,2025-03,0,True,matched
DannyMac180/mirror,Python,10,15.0,1.0,802.0,Python: 166452; Jupyter Notebook: 47445; HCL: 25460; Makefile: 855; Dockerfile: 342,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,already_has_git_dir,2024-12,2024-12,2024-12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-12,2024-12-20,356d8c144c19c16e5a116f91f4b1b0bfa3f5dd2f,high,.cursorrules,2024-12,2024-12,0,True,matched
DataDog/integrations-core,Python,995,17955.0,381.0,276062.0,Python: 18642616; Shell: 117219; TSQL: 64105; Dockerfile: 57585; Erlang: 15518; COBOL: 12312; Java: 9035; HCL: 8876; Scala: 7000; Go: 6988; PowerShell: 6400; Lua: 3489; Starlark: 2446; JavaScript: 1818; HTML: 1318; TypeScript: 1019; Batchfile: 652; Kotlin: 430; Roff: 359; Jinja: 310; Ruby: 292; Swift: 203; Logos: 143; PHP: 20,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataDog_integrations-core,already_has_git_dir,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-18,e2833e14b9abe7c106ba73b14479283c98ccd507,high,.cursor/rules/edit-changelog.mdc;.cursor/rules/format-code.mdc;.cursor/rules/general.mdc;.cursor/rules/testing.mdc,2025-03,2025-03,0,True,matched
DataScienceUIBK/Rankify,Python,318,125.0,3.0,5359.0,Python: 1459522; C++: 20283; Cuda: 4540,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,ok,2025-03,2025-02,2025-08,7.0,-1.0,5.0,1.0,1.0,5.0,1.0,2025-03,2025-03-27,0c1625abb599bda553c604fc0f50e25dd294b64e,high,.cursorrules,2025-03,2025-03,0,True,matched
Elevate-Code/better-voice-typing,Python,31,22.0,1.0,2385.0,Python: 72341; Batchfile: 4645; PowerShell: 4427,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,ok,2024-10,2024-10,2025-07,10.0,0.0,9.0,0.0,1.0,9.0,0.0,2024-10,2024-10-30,564b5339660fc620ca21e7e2a7b6cb507fea77cb,high,.cursorrules,2024-10,2024-10,0,True,matched
Hankanman/Area-Occupancy-Detection,Python,58,195.0,1.0,552.0,Python: 151295; Shell: 1201,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,ok,2024-12,2024-11,2025-08,10.0,-1.0,8.0,1.0,1.0,8.0,1.0,2024-12,2024-12-13,4fd799c9d4024ff00b84182cb0786a428728b991,high,.cursorrules,2024-12,2024-12,0,True,matched
Kiln-AI/Kiln,Python,3284,1477.0,6.0,14657.0,Python: 1238999; Svelte: 443436; TypeScript: 40734; Shell: 4049; JavaScript: 2880; Inno Setup: 2418; CSS: 920; HTML: 462,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Kiln-AI_Kiln,ok,2025-01,2024-08,2025-08,13.0,-5.0,7.0,5.0,1.0,7.0,5.0,2025-01,2025-01-05,435cce7a9fa2785be1bee09828251afe35e25569,high,.cursorrules,2025-01,2025-01,0,True,matched
KroMiose/nekro-agent,Python,149,434.0,4.0,5649.0,Python: 454387; TypeScript: 308345; Shell: 18151; JavaScript: 1106; HTML: 366; CSS: 245,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/KroMiose_nekro-agent,ok,2025-01,2024-07,2025-08,14.0,-6.0,7.0,6.0,1.0,7.0,6.0,2025-01,2025-01-14,6193cd7815f37a13b5c9bc20e185e22dfc33a1c6,high,.cursorrules,2025-01,2025-01,0,True,matched
LearningCircuit/local-deep-research,Python,1985,371.0,10.0,1460.0,Python: 460878; JavaScript: 172813; HTML: 77704; CSS: 24641; Batchfile: 3625; Inno Setup: 3440; Dockerfile: 988,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/LearningCircuit_local-deep-research,ok,2025-03,2025-02,2025-08,7.0,-1.0,5.0,1.0,1.0,5.0,1.0,2025-03,2025-03-17,7653dc6661c1916d0f88dc8e557382df886ae504,high,.cursorrules,2025-03,2025-03,0,True,matched
MDGrey33/pyvisionai,Python,98,142.0,1.0,10416.0,Python: 210810; HTML: 5576,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/MDGrey33_pyvisionai,ok,2025-01,2024-11,2025-07,9.0,-2.0,6.0,2.0,1.0,6.0,2.0,2025-01,2025-01-25,f5794af5830b4549693b0a8c18afa7bca1dbf0e6,high,.cursorrules,2025-01,2025-01,0,True,matched
