repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages,status,target_dir,note
DutchCryptoDad/bamboo-ta,Python,12,129.0,1.0,30773.0,Python: 1952044,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DutchCryptoDad_bamboo-ta,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DutchCryptoDad_bamboo-ta'... remote: Repository not found. fatal: repository 'https://github.com/DutchCryptoDad/bamboo-ta.git/' not found
Metta-AI/metta,Python,21,686.0,8.0,2270.0,Python: 391836; Shell: 18076; HTML: 3811; Dockerfile: 1282,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Metta-AI_metta,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Metta-AI_metta'... remote: Repository not found. fatal: repository 'https://github.com/Metta-AI/metta.git/' not found
ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code,Python,11,26.0,2.0,261.0,Python: 100232; Shell: 5399; PowerShell: 4566,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ShunsukeHayashi_Auto-coder-agent_Cursor_Roo_code,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ShunsukeHayashi_Auto-coder-agent_Cursor_Roo_code'... remote: Repository not found. fatal: repository 'https://github.com/ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code.git/' not found
micic-mihajlo/Datalore,Python,40,13.0,1.0,251.0,Python: 43412,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/micic-mihajlo_Datalore,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/micic-mihajlo_Datalore'... remote: Repository not found. fatal: repository 'https://github.com/micic-mihajlo/Datalore.git/' not found
wandb/mcp-server,Python,17,11.0,1.0,45.0,Python: 55308,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wandb_mcp-server,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wandb_mcp-server'... remote: Repository not found. fatal: repository 'https://github.com/wandb/mcp-server.git/' not found
