dataset_source,repo_name,candidate_ref,timezone_mode,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,total_absolute_count_delta,perfect_panel_match
treatment,OpenMOSS/Language-Model-SAEs,HEAD,commit_embedded_offset,1422,18,10,13,9,28,0
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/asi,commit_embedded_offset,1134,18,10,13,9,28,0
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/aux_k,commit_embedded_offset,1114,18,10,13,9,28,0
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/circuit-enhancement,commit_embedded_offset,1019,18,10,13,9,28,0
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/dev,commit_embedded_offset,1422,18,10,13,9,28,0
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/main,commit_embedded_offset,1410,18,10,13,9,28,0
treatment,PostHog/posthog,HEAD,america_chicago,49030,20,20,20,20,0,1
treatment,PostHog/posthog,HEAD,original_local,49030,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/(feat)billing-alerts,america_chicago,47419,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/(feat)billing-alerts,original_local,47419,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/000-mcp-works-on-this-one,america_chicago,42950,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/000-mcp-works-on-this-one,original_local,42950,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/01-01-refactor_logs_export_logsviewset_from_package___init__.py_in_preparation_for_new_endpoints,america_chicago,32350,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/01-01-refactor_logs_export_logsviewset_from_package___init__.py_in_preparation_for_new_endpoints,original_local,32350,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/01-05-feat_comments_enhance_commentslist_to_accept_a_dynamic_noun_prop_for_logs_empty_state,america_chicago,32397,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/01-05-feat_comments_enhance_commentslist_to_accept_a_dynamic_noun_prop_for_logs_empty_state,original_local,32397,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/master,america_chicago,49030,20,20,20,20,0,1
treatment,PostHog/posthog,refs/remotes/origin/master,original_local,49030,20,20,20,20,0,1
treatment,PostHog/posthog,HEAD,utc,49030,20,12,13,10,20,0
treatment,PostHog/posthog,refs/remotes/origin/(feat)billing-alerts,utc,47419,20,12,13,10,20,0
treatment,PostHog/posthog,refs/remotes/origin/000-mcp-works-on-this-one,utc,42950,20,12,13,10,20,0
treatment,PostHog/posthog,refs/remotes/origin/01-01-refactor_logs_export_logsviewset_from_package___init__.py_in_preparation_for_new_endpoints,utc,32350,20,12,13,10,20,0
treatment,PostHog/posthog,refs/remotes/origin/01-05-feat_comments_enhance_commentslist_to_accept_a_dynamic_noun_prop_for_logs_empty_state,utc,32397,20,12,13,10,20,0
treatment,PostHog/posthog,refs/remotes/origin/master,utc,49030,20,12,13,10,20,0
treatment,PostHog/posthog,HEAD,commit_embedded_offset,49030,20,9,16,9,16,0
treatment,PostHog/posthog,refs/remotes/origin/(feat)billing-alerts,commit_embedded_offset,47419,20,9,16,9,16,0
treatment,PostHog/posthog,refs/remotes/origin/000-mcp-works-on-this-one,commit_embedded_offset,42950,20,9,16,9,16,0
treatment,PostHog/posthog,refs/remotes/origin/01-01-refactor_logs_export_logsviewset_from_package___init__.py_in_preparation_for_new_endpoints,commit_embedded_offset,32350,20,9,16,9,16,0
treatment,PostHog/posthog,refs/remotes/origin/01-05-feat_comments_enhance_commentslist_to_accept_a_dynamic_noun_prop_for_logs_empty_state,commit_embedded_offset,32397,20,9,16,9,16,0
treatment,PostHog/posthog,refs/remotes/origin/master,commit_embedded_offset,49030,20,9,16,9,16,0
