outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,5,-0.0614947999062199,-0.225042174177822,0.102052574365383,0.0834425378936748,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,6,-0.293594673463145,-0.510034993083423,-0.0771543538428665,0.110428734500142,,TRUE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-6,0.090724534282097,-0.414591735702745,0.59604080426694,0.257814423461654,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-5,-0.0854850341054179,-0.490956419385404,0.319986351174569,0.206873155755095,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-4,-0.132970732304486,-0.496235503210771,0.2302940386018,0.185339168829737,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-3,0.0957114697941378,-0.313371250953834,0.504794190542109,0.208715673851006,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-2,0.279123807647116,-0.205435126491142,0.763682741785374,0.247223945988907,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),0,0.669204342578978,0.183602544676035,1.15480614048192,0.247756019338236,,TRUE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),1,0.465601832698865,-0.0429375649027088,0.974141230300438,0.259458876327333,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),2,0.275616687122124,-0.268092918690072,0.819326292934321,0.277402860108263,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),3,-0.0694899625283238,-0.654147826662656,0.515167901606008,0.298294828639965,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),4,-0.407388471101137,-0.998454693851362,0.183677751649087,0.30156439936236,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),5,-0.0987921853949596,-0.728175219692093,0.530590848902174,0.321113793008742,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),6,-0.511920451108221,-1.32437435905118,0.300533456834734,0.414517299970895,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-6,-0.0190108350739667,-0.357109176138461,0.319087505990528,0.172499153604334,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-5,-0.0562625041876131,-0.325588351144721,0.213063342769495,0.137411146406688,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-4,-0.283054119684155,-0.554592017152322,-0.0115162222159887,0.138539743606207,,TRUE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-3,-0.226561472421383,-0.514391839298567,0.0612688944558013,0.146852227998563,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-2,0.0636019642074862,-0.261961509360006,0.389165437774979,0.166103813044639,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),0,0.527253980081712,0.185355758014354,0.86915220214907,0.174437868401713,,TRUE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),1,0.15985875925816,-0.205618901646421,0.525336420162741,0.186468194339072,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),2,0.125904667115034,-0.238721026518526,0.490530360748595,0.18603351715998,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),3,-0.107959498864376,-0.551458648640368,0.335539650911616,0.226275076416322,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),4,-0.337605628268306,-0.75517075457691,0.0799594980402992,0.213043431790104,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),5,-0.133637376841757,-0.637231862373137,0.369957108689622,0.256935962005806,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),6,-0.0851736562458833,-0.528412404278488,0.358065091786721,0.226142218383982,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-6,0.0768735028655626,-0.423709349598323,0.577456355329449,0.255399414522391,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-5,-0.0609321375314312,-0.466663914721972,0.34479963965911,0.207006008770684,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-4,-0.0894078632287672,-0.445410180907287,0.266594454449753,0.181633835550265,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-3,0.162511933541132,-0.244950590981008,0.569974458063271,0.20788904312354,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-2,0.273837450946228,-0.195218126077307,0.742893027969763,0.239314069909967,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),0,0.663251852026339,0.189767067930537,1.13673663612214,0.241573869436634,,TRUE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),1,0.475486320455889,0.00297617763230679,0.94799646327947,0.241076603481419,,TRUE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),2,0.265612043285257,-0.265475107212911,0.796699193783425,0.27096283188682,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),3,-0.0358451685837197,-0.596137422011435,0.524447084843996,0.285863394605977,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),4,-0.341609743218174,-0.909352486278436,0.226132999842087,0.289664664826664,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),5,-0.0387543327873078,-0.647389864934474,0.569881199359859,0.310528332728146,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),6,-0.493155367657342,-1.28880560945296,0.30249487413828,0.405944000916133,,FALSE,strict_range100_200_full_python_snapshot_ncloc_calendar_month_parse_clean,range100_200,full,python_snapshot,calendar_month,parse_clean
