outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel
log_static_analysis_warnings,Static Analysis Warnings,-6,0.0302042525914764,-0.0478477428448786,0.108256248027832,0.0398224466512016,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,-5,0.0769818274284866,0.0100365631064722,0.143927091750501,0.0341557471030686,,True,strict
log_static_analysis_warnings,Static Analysis Warnings,-4,0.0809269992419276,-0.0041478249855691,0.166001823469424,0.0434055225650494,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,-3,0.118033732409625,0.0092628667670259,0.226804598052223,0.0554953396135707,,True,strict
log_static_analysis_warnings,Static Analysis Warnings,-2,-0.0007672050033538,-0.0846119763769838,0.083077566370276,0.0427779445783826,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,0,0.0183599039347158,-0.143417325005683,0.180137132875115,0.0825394025206118,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,1,0.112582270340142,-0.0433152533704167,0.268479794050701,0.0795395529135505,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,2,0.161851760737594,-0.0108840169865406,0.334587538461728,0.0881304988388441,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,3,0.0099025593589032,-0.183518297484614,0.20332341620242,0.0986841106344475,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,4,0.119778578099443,-0.0665084032482026,0.306065559447089,0.0950443782385947,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,5,0.0878526187647239,-0.0683393333138899,0.244044570843338,0.0796897714686805,,False,strict
log_static_analysis_warnings,Static Analysis Warnings,6,0.10933127991297,-0.103187100818328,0.321849660644268,0.10842774527107,,False,strict
log_duplicate_line_density,Duplicate Line Density,-6,0.0142790347533844,-0.118872228169343,0.147430297676111,0.0679343178177179,,False,strict
log_duplicate_line_density,Duplicate Line Density,-5,-0.009047277547166,-0.148211145542711,0.130116590448379,0.0710019734671149,,False,strict
log_duplicate_line_density,Duplicate Line Density,-4,-0.0427931812715628,-0.195875978534443,0.110289615991318,0.0781034679912655,,False,strict
log_duplicate_line_density,Duplicate Line Density,-3,0.0044066789652386,-0.161862069898879,0.170675427829356,0.0848309943184272,,False,strict
log_duplicate_line_density,Duplicate Line Density,-2,-0.0609721175244649,-0.152342174237816,0.0303979391888865,0.0466173758741589,,False,strict
log_duplicate_line_density,Duplicate Line Density,0,-0.131219067135156,-0.329758759090283,0.0673206248199707,0.101295761201595,,False,strict
log_duplicate_line_density,Duplicate Line Density,1,-0.130871491924433,-0.33923470371032,0.077491719861453,0.106307761115248,,False,strict
log_duplicate_line_density,Duplicate Line Density,2,-0.176459082560914,-0.404137906239487,0.0512197411176586,0.116162665142129,,False,strict
log_duplicate_line_density,Duplicate Line Density,3,-0.269010822525446,-0.488870889627542,-0.0491507554233495,0.112173503623519,,True,strict
log_duplicate_line_density,Duplicate Line Density,4,-0.316473348107087,-0.553083175141134,-0.0798635210730401,0.120719299507167,,True,strict
log_duplicate_line_density,Duplicate Line Density,5,-0.240403659222769,-0.492357904783651,0.0115505863381129,0.128548084469838,,False,strict
log_duplicate_line_density,Duplicate Line Density,6,-0.0321660616916619,-0.309986400074582,0.245654276691258,0.141745070603531,,False,strict
log_code_complexity,Code Complexity,-6,-0.0365749767626872,-0.0819123970953924,0.0087624435700181,0.0231313369044415,,False,strict
log_code_complexity,Code Complexity,-5,-0.0248455538343306,-0.0620132217292036,0.0123221140605424,0.0189630958647311,,False,strict
log_code_complexity,Code Complexity,-4,-0.0349404755726899,-0.0877774569670273,0.0178965058216476,0.0269576435685395,,False,strict
log_code_complexity,Code Complexity,-3,-0.0425123204102452,-0.0929997225794968,0.0079750817590063,0.0257588786577814,,False,strict
log_code_complexity,Code Complexity,-2,-0.0393221691270866,-0.085526496141585,0.0068821578874119,0.023573636231887,,False,strict
log_code_complexity,Code Complexity,0,0.0237449619805858,-0.123176692748718,0.170666616709889,0.074960027923114,,False,strict
log_code_complexity,Code Complexity,1,0.104531031433563,-0.0767316012115451,0.285793664078671,0.0924809350230142,,False,strict
log_code_complexity,Code Complexity,2,0.0995641243447467,-0.0991627450786446,0.298290993768138,0.101391259909894,,False,strict
log_code_complexity,Code Complexity,3,0.11247766596001,-0.0735843765758846,0.298539708495905,0.0949296135387218,,False,strict
log_code_complexity,Code Complexity,4,0.147228518866744,-0.0479464610806163,0.342403498814105,0.0995790714017147,,False,strict
log_code_complexity,Code Complexity,5,0.182229041635328,-0.0295963242243792,0.394054407495035,0.108074166254953,,False,strict
log_code_complexity,Code Complexity,6,-0.0041779765198893,-0.186562784991481,0.178206831951703,0.0930534737099959,,False,strict
