repo_name,repo_key,event,event_index,model_a_complete_rows,pre_treatment_complete_rows,post_treatment_complete_rows,first_complete_month,last_complete_month,borusyak_estimable,estimability_reason
vcs-python/vcspull,vcs-python/vcspull,2025-03,15,20,14,6,2024-01,2025-08,1,estimable
vietanhdev/anylabeling,vietanhdev/anylabeling,2025-03,15,12,9,3,2024-06,2025-05,1,estimable
wdm0006/elote,wdm0006/elote,2025-02,14,12,7,5,2024-07,2025-06,1,estimable
wdm0006/git-pandas,wdm0006/git-pandas,2025-03,15,13,8,5,2024-07,2025-07,1,estimable
wdm0006/pygeohash,wdm0006/pygeohash,2025-03,15,14,9,5,2024-06,2025-07,1,estimable
whiteducksoftware/flock,whiteducksoftware/flock,2025-03,15,7,1,6,2025-02,2025-08,1,estimable
xzq-xu/jvm-mcp-server,xzq-xu/jvm-mcp-server,2025-03,15,6,0,6,2025-03,2025-08,0,no_pre_treatment_complete_case_row
yagami1997/CursorMind,yagami1997/cursormind,2025-03,15,6,0,6,2025-03,2025-08,0,no_pre_treatment_complete_case_row
yagami1997/TradeMind,yagami1997/trademind,2025-03,15,6,1,5,2025-02,2025-07,1,estimable
yeagerai/genlayer-studio,yeagerai/genlayer-studio,2025-03,15,18,12,6,2024-03,2025-08,1,estimable
zauberzeug/nicegui,zauberzeug/nicegui,2025-03,15,20,14,6,2024-01,2025-08,1,estimable
zenbase-ai/py-priompt,zenbase-ai/py-priompt,2024-11,11,1,0,1,2024-11,2024-11,0,no_pre_treatment_complete_case_row
zilliztech/mcp-server-milvus,zilliztech/mcp-server-milvus,2025-03,15,4,0,4,2025-03,2025-06,0,no_pre_treatment_complete_case_row
