repo_id,repo_name,dataset_source,scope_role,treatment_group,time,time_index,time_yyyymm,event,event_index,event_yyyymm,post_event,time_to_event,control_has_adoption_event,control_event_effective,control_post_adoption_row,control_adoption_signal_without_event,cursor_flag,commits,log_commits,lines_added,log_lines_added,lines_removed,contributors,log_contributors,stars,log_stars,issues,log_issues,issue_comments,age,log_age,ncloc,ncloc_original,ncloc_recovered,ncloc_source,ncloc_recovery_applied,ncloc_recovery_snapshot_key,ncloc_recovery_scanner_log,ncloc_recovery_project_key,ncloc_recovery_project_version,ncloc_recovery_status,ncloc_recovery_git_precheck_status,model_a_complete,model_a_exclusion_reason,python_eligible,scan_status,latest_commit_original,latest_commit_effective,latest_commit,commit_resolution,months_since_observed_commit,model_c_snapshot_key,original_control_slots,python_eligible_controls,no_python_controls,snapshot_unknown_controls,missing_clone_controls,missing_monthly_history_controls,no_prior_snapshot_controls,has_any_python_control,has_all_three_python_controls,coverage_class,is_treatment,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,other_agents,high_confidence,clone_path,clone_exists,is_git_repository,commit_exists,tracked_file_count,python_file_count_all,python_file_count_source,python_file_count_excluded,has_python,has_python_source,python_path_samples,excluded_python_path_samples,error_message,eligibility_join_status,base_inclusion_status,base_exclusion_reason
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-01,1,202401,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,6,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-02,2,202402,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,7,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-03,3,202403,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,8,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-04,4,202404,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.3978952727983707,0,0.0,0,270,5.602118820879701,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,9,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-05,5,202405,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6931471805599453,0,0.0,0,300,5.707110264748875,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,10,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-06,6,202406,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0986122886681096,0,0.0,0,331,5.805134968916488,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,11,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-07,7,202407,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,12,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-08,8,202408,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0986122886681096,0,0.0,0,392,5.973809611869261,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,13,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-09,9,202409,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.3862943611198906,0,0.0,0,423,6.049733455231958,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,14,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
3,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,control,0,2024-10,10,202410,,0,0,0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0986122886681096,0,0.0,0,453,6.118097198041347,410.0,,410.0,run-x-a05b-sonarqube-whole-repository,1,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,ready,1,,1,success_python,,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,15,control|2019211474/DL-NASA-SOH-CNN-BILSTM-Attention|5221bbfc995e48829975b34634f55d0e5936e59a,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,,,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,1,15.0,3.0,3.0,0.0,1.0,1.0,1D-CNN-BiLSTM-Attention.py | 1D-CNN.py | BiLSTM.py,,,matched_repo_month,included_python_pooled,
