exclusion_stage,exclusion_reason,scope_role,dataset_source,repo_name,time,event,time_to_event,python_eligible,scan_status,commits,lines_added,age,ncloc,ncloc_original,ncloc_recovered,ncloc_source,ncloc_recovery_applied,ncloc_recovery_snapshot_key,contributors,stars,issues,latest_commit_effective,commit_resolution
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-02,,,1,success_python,0.0,0.0,0,661431.0,,661431.0,run-x-a05b-sonarqube-whole-repository,1,control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,0.0,0,0,d34f7b4b43ed87a374f394b0535ed685af66197b,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-03,,,1,success_python,0.0,0.0,0,661431.0,,661431.0,run-x-a05b-sonarqube-whole-repository,1,control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,0.0,0,0,d34f7b4b43ed87a374f394b0535ed685af66197b,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-04,,,1,success_python,1.0,203.0,0,661619.0,661619.0,,replication_panel,0,,1.0,0,0,19753bc062d47cc34e73efb27824e97ff5216a68,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-05,,,1,success_python,0.0,0.0,0,661619.0,661619.0,,replication_panel,0,,0.0,0,0,19753bc062d47cc34e73efb27824e97ff5216a68,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-06,,,1,success_python,0.0,0.0,0,661619.0,661619.0,,replication_panel,0,,0.0,0,0,19753bc062d47cc34e73efb27824e97ff5216a68,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-07,,,1,success_python,0.0,0.0,0,661619.0,661619.0,,replication_panel,0,,0.0,0,0,19753bc062d47cc34e73efb27824e97ff5216a68,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-08,,,1,success_python,0.0,0.0,0,661619.0,661619.0,,replication_panel,0,,0.0,0,0,19753bc062d47cc34e73efb27824e97ff5216a68,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-09,,,1,success_python,2.0,2.0,0,661619.0,661619.0,,replication_panel,0,,2.0,32,0,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-10,,,1,success_python,3.0,186.0,22,661631.0,661631.0,,replication_panel,0,,2.0,37,1,004ffef82b46e8dc8685c55d0cdda650bdaf1269,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-02,,,1,success_python,17.0,447.0,0,1488.0,1488.0,,replication_panel,0,,2.0,0,0,6d6af387dbfd19f8a70b0e0bdf956cb4bc1fc6d8,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-03,,,1,success_python,35.0,8904.0,0,3833.0,3833.0,,replication_panel,0,,2.0,0,0,7c52f6bfcb0d91ae93a496dc9b356de23a9e568c,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-04,,,1,success_python,53.0,20342.0,0,7566.0,7566.0,,replication_panel,0,,2.0,0,0,43365b64ad799c81f65d9ca8fda0fe0d95978f59,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-05,,,1,success_python,48.0,39626.0,0,13446.0,13446.0,,replication_panel,0,,3.0,0,0,05438617e1535333cdf976bf8843553e5b85addc,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-06,,,1,success_python,28.0,33661.0,0,16366.0,16366.0,,replication_panel,0,,4.0,0,0,a253e29f8b069a62ce5780563fc5285a9d150a78,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-07,,,1,success_python,25.0,6255.0,0,18159.0,18159.0,,replication_panel,0,,4.0,0,0,8f1fa236c636b57605c2d0bcb3e74605a6789796,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-08,,,1,success_python,26.0,11907.0,0,20532.0,20532.0,,replication_panel,0,,3.0,0,0,146ee41132650aac4ee6e171c7f136e47de7312f,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-09,,,1,success_python,11.0,7452.0,0,24498.0,24498.0,,replication_panel,0,,2.0,0,0,b2042728b5aa9a57cce3073ad525f0c796c2d62c,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-10,,,1,success_python,5.0,7593.0,0,25011.0,25011.0,,replication_panel,0,,2.0,0,1,84c373137c8baf7bdbc6682ca7ad4d542581a2da,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-11,,,1,success_python,7.0,3815.0,1,26528.0,26528.0,,replication_panel,0,,3.0,22,1,869c452971ae0632e92e356dc01ff0d495c8f215,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2024-12,,,1,success_python,48.0,31110.0,31,30370.0,30370.0,,replication_panel,0,,5.0,1,1,fb95c558e62402c5fadce0497435cbc6929a844e,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2025-01,,,1,success_python,8.0,4265.0,0,29732.0,29732.0,,replication_panel,0,,1.0,0,0,7423f6c0925f5eea34ec0895a00576c2fec0f6b3,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2025-02,,,1,success_python,63.0,7600.0,0,32938.0,32938.0,,replication_panel,0,,4.0,0,0,4c820e90fdd17cc18aede76e0648000e71ce9a4c,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,HelpingAI/Webscout,2025-03,,,1,success_python,124.0,21466.0,0,36354.0,36354.0,,replication_panel,0,,8.0,0,0,0d6ff18a9799de1f2bbe637431e363e4c49006e7,observed
