control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month,control_key,matched_estimable_treatment_count,linked_to_estimable_treatment,panel_row_count,panel_first_month,panel_last_month,python_panel_row_count,python_panel_first_month,python_panel_last_month,model_a_complete_row_count,model_a_complete_first_month,model_a_complete_last_month,model_a_estimable_row_count,model_a_estimable_first_month,model_a_estimable_last_month,panel_no_python_rows,panel_python_rows,panel_unknown_python_rows,control_has_adoption_event,control_event_effective,panel_post_adoption_rows,control_adoption_signal_without_event_rows,panel_post_adoption_python_rows,control_pool_status
harvard-edge/QuaRL,1,1,20,20,1,aligned,33,32,1,0,2019-09,2022-05,harvard-edge/quarl,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
infected4098/Wave-U-Mamba,1,1,9,5,1,aligned,12,12,0,0,2024-09,2025-08,infected4098/wave-u-mamba,1,1,12,2024-09,2025-08,12,2024-09,2025-08,12,2024-09,2025-08,12,2024-09,2025-08,0,12,0,0,,0,0,0,model_a_estimable_available
itsKayWat/MindfulShift-2025,1,1,2,2,1,aligned,1,1,0,0,2024-12,2024-12,itskaywat/mindfulshift-2025,0,0,1,2024-12,2024-12,1,2024-12,2024-12,1,2024-12,2024-12,0,,,0,1,0,0,,0,0,0,not_linked_to_estimable_treatment
jacebrowning/datafiles,1,1,20,20,1,aligned,86,86,0,0,2018-06,2025-07,jacebrowning/datafiles,1,1,19,2024-01,2025-07,19,2024-01,2025-07,19,2024-01,2025-07,19,2024-01,2025-07,0,19,0,0,,0,0,0,model_a_estimable_available
jfcrenshaw/pzflow,1,1,20,20,1,aligned,51,51,0,0,2021-01,2025-03,jfcrenshaw/pzflow,1,1,15,2024-01,2025-03,15,2024-01,2025-03,14,2024-02,2025-03,14,2024-02,2025-03,0,15,0,0,,0,0,0,model_a_estimable_available
jgwak/GSDN,1,1,20,20,1,aligned,23,1,22,0,2020-08,2022-06,jgwak/gsdn,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
jinli99/iShapEditing,1,1,20,18,1,aligned,13,13,0,0,2024-03,2025-03,jinli99/ishapediting,1,1,13,2024-03,2025-03,13,2024-03,2025-03,13,2024-03,2025-03,13,2024-03,2025-03,0,13,0,0,,0,0,0,model_a_estimable_available
joereynolds/reap-get,1,1,20,20,1,aligned,16,16,0,0,2015-10,2017-01,joereynolds/reap-get,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
jrowellfx/lsseq,1,1,20,20,1,aligned,188,179,9,0,2009-12,2025-07,jrowellfx/lsseq,1,1,19,2024-01,2025-07,19,2024-01,2025-07,12,2024-08,2025-07,12,2024-08,2025-07,0,19,0,0,,0,0,0,model_a_estimable_available
justin4ai/Quark,5,5,18,0,0,control_clone_missing,1,0,0,1,2024-11,2024-11,justin4ai/quark,0,0,1,2024-11,2024-11,0,,,0,,,0,,,0,0,1,0,,0,0,0,panel_rows_python_unknown
jyjblrd/SelfDrivingCar,1,1,18,18,1,aligned,1,1,0,0,2020-01,2020-01,jyjblrd/selfdrivingcar,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
kangtegong/pyftrace,1,1,2,2,1,aligned,6,6,0,0,2024-10,2025-03,kangtegong/pyftrace,0,0,6,2024-10,2025-03,6,2024-10,2025-03,6,2024-10,2025-03,0,,,0,6,0,0,,0,0,0,not_linked_to_estimable_treatment
krishpranav/socialosint,1,1,16,16,1,aligned,1,1,0,0,2021-07,2021-07,krishpranav/socialosint,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
kuleshov-group/caduceus,1,1,20,19,1,aligned,17,17,0,0,2024-02,2025-06,kuleshov-group/caduceus,1,1,17,2024-02,2025-06,17,2024-02,2025-06,17,2024-02,2025-06,17,2024-02,2025-06,0,17,0,0,,0,0,0,model_a_estimable_available
lancedb/lancedb,6,6,109,109,1,aligned,31,31,0,0,2023-03,2025-09,lancedb/lancedb,6,1,20,2024-01,2025-08,20,2024-01,2025-08,17,2024-04,2025-08,17,2024-04,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
liangchundong/HGNN-AC,1,1,15,15,1,aligned,3,3,0,0,2021-07,2021-09,liangchundong/hgnn-ac,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
linuxacademy/content-gitops,1,1,20,20,1,aligned,5,5,0,0,2019-11,2020-03,linuxacademy/content-gitops,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
loml13yyy/AtlassianConfluence-RCE,6,6,21,21,1,aligned,1,1,0,0,2024-10,2024-10,loml13yyy/atlassianconfluence-rce,0,0,1,2024-10,2024-10,1,2024-10,2024-10,1,2024-10,2024-10,0,,,0,1,0,0,,0,0,0,not_linked_to_estimable_treatment
loml13yyy/yyGRPU8,6,6,21,21,1,aligned,1,1,0,0,2024-10,2024-10,loml13yyy/yygrpu8,0,0,1,2024-10,2024-10,1,2024-10,2024-10,1,2024-10,2024-10,0,,,0,1,0,0,,0,0,0,not_linked_to_estimable_treatment
markmelnic/stealthenium,1,1,9,6,1,aligned,7,7,0,0,2024-08,2025-02,markmelnic/stealthenium,1,1,7,2024-08,2025-02,7,2024-08,2025-02,7,2024-08,2025-02,7,2024-08,2025-02,0,7,0,0,,0,0,0,model_a_estimable_available
microsoft/AzureTRE,1,1,17,17,1,aligned,55,53,2,0,2021-03,2025-09,microsoft/azuretre,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
microsoft/semantic-link-labs,6,6,109,91,1,aligned,17,17,0,0,2024-05,2025-09,microsoft/semantic-link-labs,6,1,16,2024-05,2025-08,16,2024-05,2025-08,16,2024-05,2025-08,16,2024-05,2025-08,0,16,0,0,,0,0,0,model_a_estimable_available
monero-project/meta,1,1,20,20,1,aligned,59,57,2,0,2016-10,2021-08,monero-project/meta,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
neuml/rag,2,2,21,21,1,aligned,11,11,0,0,2024-07,2025-05,neuml/rag,2,1,11,2024-07,2025-05,11,2024-07,2025-05,11,2024-07,2025-05,11,2024-07,2025-05,0,11,0,0,,0,0,0,model_a_estimable_available
nhw649/EOV-Seg,1,1,20,15,1,aligned,7,7,0,0,2024-06,2024-12,nhw649/eov-seg,1,1,7,2024-06,2024-12,7,2024-06,2024-12,7,2024-06,2024-12,7,2024-06,2024-12,0,7,0,0,,0,0,0,model_a_estimable_available
ninareyes1/Simple-Digital-Clock,13,13,72,47,1,aligned,1,1,0,0,2025-02,2025-02,ninareyes1/simple-digital-clock,4,1,1,2025-02,2025-02,1,2025-02,2025-02,1,2025-02,2025-02,1,2025-02,2025-02,0,1,0,0,,0,0,0,model_a_estimable_available
odoo/industry,1,1,11,11,1,aligned,26,24,2,0,2023-08,2025-09,odoo/industry,1,1,20,2024-01,2025-08,20,2024-01,2025-08,13,2024-08,2025-08,13,2024-08,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
omkarcloud/amazon-scraper,1,1,19,19,1,aligned,1,1,0,0,2024-01,2024-01,omkarcloud/amazon-scraper,1,1,1,2024-01,2024-01,1,2024-01,2024-01,1,2024-01,2024-01,1,2024-01,2024-01,0,1,0,0,,0,0,0,model_a_estimable_available
oval-group/smooth-topk,1,1,20,20,1,aligned,43,43,0,0,2018-02,2021-08,oval-group/smooth-topk,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
peter279k/cdc-data-mirror,1,1,20,20,1,aligned,33,33,0,0,2023-01,2025-09,peter279k/cdc-data-mirror,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
pieces-app/cli-agent,8,8,123,123,1,aligned,22,22,0,0,2023-12,2025-09,pieces-app/cli-agent,8,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
plurai-ai/intellagent,2,2,14,14,1,aligned,7,7,0,0,2024-10,2025-04,plurai-ai/intellagent,2,1,7,2024-10,2025-04,7,2024-10,2025-04,7,2024-10,2025-04,7,2024-10,2025-04,0,7,0,0,,0,0,0,model_a_estimable_available
popey/sbommage,1,1,5,0,1,aligned,7,1,6,0,2025-02,2025-08,popey/sbommage,1,1,7,2025-02,2025-08,1,2025-08,2025-08,1,2025-08,2025-08,1,2025-08,2025-08,6,1,0,0,,0,0,0,model_a_estimable_available
qiboteam/qibojit,1,1,20,20,1,aligned,53,53,0,0,2021-04,2025-08,qiboteam/qibojit,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
ruiqini/NTFields,1,1,19,19,1,aligned,18,18,0,0,2023-02,2024-07,ruiqini/ntfields,1,1,7,2024-01,2024-07,7,2024-01,2024-07,1,2024-07,2024-07,1,2024-07,2024-07,0,7,0,0,,0,0,0,model_a_estimable_available
sakomws/ai-workshop,5,5,18,18,1,aligned,3,2,1,0,2024-10,2024-12,sakomws/ai-workshop,0,0,3,2024-10,2024-12,2,2024-11,2024-12,2,2024-11,2024-12,0,,,1,2,0,0,,0,0,0,not_linked_to_estimable_treatment
saucer-man/qq_msg_decode,1,1,20,20,1,aligned,14,13,1,0,2023-05,2024-06,saucer-man/qq_msg_decode,1,1,6,2024-01,2024-06,6,2024-01,2024-06,1,2024-06,2024-06,1,2024-06,2024-06,0,6,0,0,,0,0,0,model_a_estimable_available
slopp/30_days_of_dagster,1,1,20,10,1,aligned,2,2,0,0,2024-11,2024-12,slopp/30_days_of_dagster,1,1,2,2024-11,2024-12,2,2024-11,2024-12,2,2024-11,2024-12,2,2024-11,2024-12,0,2,0,0,,0,0,0,model_a_estimable_available
snowzjx/ns3-load-balance,1,1,18,18,1,aligned,161,161,0,0,2006-08,2019-12,snowzjx/ns3-load-balance,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
stakewise/v3-operator,1,1,20,20,1,aligned,35,35,0,0,2022-10,2025-08,stakewise/v3-operator,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
surajt97/Train_Delay_Prediction,1,1,19,19,1,aligned,7,7,0,0,2017-04,2017-10,surajt97/train_delay_prediction,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
taylorwilsdon/open-webui-tools,1,1,2,2,1,aligned,4,4,0,0,2025-02,2025-05,taylorwilsdon/open-webui-tools,1,1,4,2025-02,2025-05,4,2025-02,2025-05,4,2025-02,2025-05,4,2025-02,2025-05,0,4,0,0,,0,0,0,model_a_estimable_available
thefatedefeater/V2ray-Config,1,1,11,8,1,aligned,8,8,0,0,2024-06,2025-01,thefatedefeater/v2ray-config,1,1,8,2024-06,2025-01,8,2024-06,2025-01,8,2024-06,2025-01,8,2024-06,2025-01,0,8,0,0,,0,0,0,model_a_estimable_available
thegreenwebfoundation/admin-portal,1,1,20,20,1,aligned,72,72,0,0,2019-10,2025-09,thegreenwebfoundation/admin-portal,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
tranceitionalMynd/spy-reaper,1,1,18,18,1,aligned,2,2,0,0,2017-12,2018-01,tranceitionalmynd/spy-reaper,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
tusgino/llm-code-reviewer,1,1,5,5,1,aligned,1,1,0,0,2024-11,2024-11,tusgino/llm-code-reviewer,1,1,1,2024-11,2024-11,1,2024-11,2024-11,1,2024-11,2024-11,1,2024-11,2024-11,0,1,0,0,,0,0,0,model_a_estimable_available
viktoriasemaan/sa-ai-agent,1,1,1,1,1,aligned,3,3,0,0,2024-08,2024-10,viktoriasemaan/sa-ai-agent,0,0,3,2024-08,2024-10,3,2024-08,2024-10,3,2024-08,2024-10,0,,,0,3,0,0,,0,0,0,not_linked_to_estimable_treatment
vonssy/BlockBitsApp-BOT,6,5,42,29,1,aligned,1,1,0,0,2024-12,2024-12,vonssy/blockbitsapp-bot,3,1,1,2024-12,2024-12,1,2024-12,2024-12,1,2024-12,2024-12,1,2024-12,2024-12,0,1,0,0,,0,0,0,model_a_estimable_available
vonssy/DreamerQuests-BOT,20,18,69,67,1,aligned,5,5,0,0,2025-03,2025-07,vonssy/dreamerquests-bot,2,1,5,2025-03,2025-07,5,2025-03,2025-07,5,2025-03,2025-07,5,2025-03,2025-07,0,5,0,0,,0,0,0,model_a_estimable_available
vortezwohl/Bhakti,1,1,10,10,1,aligned,9,9,0,0,2024-08,2025-04,vortezwohl/bhakti,1,1,9,2024-08,2025-04,9,2024-08,2025-04,9,2024-08,2025-04,9,2024-08,2025-04,0,9,0,0,,0,0,0,model_a_estimable_available
wasilukm/hoymiles-mqtt,1,1,13,13,1,aligned,43,43,0,0,2022-03,2025-09,wasilukm/hoymiles-mqtt,1,1,20,2024-01,2025-08,20,2024-01,2025-08,19,2024-02,2025-08,19,2024-02,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
weaviate/t2v-transformers-models,1,1,20,20,1,aligned,55,55,0,0,2021-02,2025-08,weaviate/t2v-transformers-models,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
weizequan/TASHR,1,1,16,16,1,aligned,33,20,13,0,2021-07,2024-03,weizequan/tashr,1,1,3,2024-01,2024-03,3,2024-01,2024-03,1,2024-03,2024-03,1,2024-03,2024-03,0,3,0,0,,0,0,0,model_a_estimable_available
william-sy/TesyLocal,1,1,13,13,1,aligned,13,7,6,0,2021-10,2022-10,william-sy/tesylocal,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
xinsir6/ControlNetPlus,1,1,14,14,1,aligned,3,3,0,0,2024-07,2024-09,xinsir6/controlnetplus,1,1,3,2024-07,2024-09,3,2024-07,2024-09,3,2024-07,2024-09,3,2024-07,2024-09,0,3,0,0,,0,0,0,model_a_estimable_available
xnl-h4ck3r/getSubsidiaries,1,1,5,5,1,aligned,1,1,0,0,2024-12,2024-12,xnl-h4ck3r/getsubsidiaries,1,1,1,2024-12,2024-12,1,2024-12,2024-12,1,2024-12,2024-12,1,2024-12,2024-12,0,1,0,0,,0,0,0,model_a_estimable_available
yihozhang/most-influential-pl-papers,6,6,32,30,1,aligned,1,1,0,0,2025-01,2025-01,yihozhang/most-influential-pl-papers,1,1,1,2025-01,2025-01,1,2025-01,2025-01,1,2025-01,2025-01,1,2025-01,2025-01,0,1,0,0,,0,0,0,model_a_estimable_available
yoongi43/music_audio_enhancement_conformer,1,1,19,14,1,aligned,10,10,0,0,2024-06,2025-03,yoongi43/music_audio_enhancement_conformer,1,1,10,2024-06,2025-03,10,2024-06,2025-03,10,2024-06,2025-03,10,2024-06,2025-03,0,10,0,0,,0,0,0,model_a_estimable_available
yousseb/meld,1,1,20,20,1,aligned,259,259,0,0,2002-05,2023-11,yousseb/meld,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
ysj9909/SHViT,1,1,16,15,1,aligned,4,3,1,0,2024-03,2024-06,ysj9909/shvit,1,1,4,2024-03,2024-06,3,2024-04,2024-06,3,2024-04,2024-06,3,2024-04,2024-06,1,3,0,0,,0,0,0,model_a_estimable_available
zeyangsha/De-Fake,1,1,17,16,1,aligned,22,17,5,0,2023-09,2025-06,zeyangsha/de-fake,1,1,18,2024-01,2025-06,17,2024-02,2025-06,17,2024-02,2025-06,17,2024-02,2025-06,1,17,0,0,,0,0,0,model_a_estimable_available
zhang-xr/FirmLLM,1,1,6,5,1,aligned,3,3,0,0,2025-02,2025-04,zhang-xr/firmllm,1,1,3,2025-02,2025-04,3,2025-02,2025-04,3,2025-02,2025-04,3,2025-02,2025-04,0,3,0,0,,0,0,0,model_a_estimable_available
zhipeixu/FakeShield,1,1,5,3,1,aligned,9,5,4,0,2024-10,2025-06,zhipeixu/fakeshield,1,1,9,2024-10,2025-06,5,2025-02,2025-06,5,2025-02,2025-06,5,2025-02,2025-06,4,5,0,0,,0,0,0,model_a_estimable_available
zhou19830318/xiaozhi_micropython,1,1,6,5,1,aligned,3,3,0,0,2025-02,2025-04,zhou19830318/xiaozhi_micropython,1,1,3,2025-02,2025-04,3,2025-02,2025-04,3,2025-02,2025-04,3,2025-02,2025-04,0,3,0,0,,0,0,0,model_a_estimable_available
zju3dv/ready_to_react,1,1,6,5,1,aligned,2,2,0,0,2025-02,2025-03,zju3dv/ready_to_react,1,1,2,2025-02,2025-03,2,2025-02,2025-03,2,2025-02,2025-03,2,2025-02,2025-03,0,2,0,0,,0,0,0,model_a_estimable_available
