treatment_period,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
overall,197853,188349,212024,212024,185027,397051,322,209,113,281,1633,97,378312,274,0.05939987752602572,0.001491911292334974,0.0009857374636833567,0.0006107216784577386,0.0008109789422517511,0.0007242699147793355
control_all,111950,107762,40808,40808,33007,73815,136,74,62,116,780,40,68115,113,0.05128205128205128,0.0010764462426458307,0.001813369927465203,0.0018783894325446117,0.0018424439477071055,0.0016589591132643324
treatment_all,85903,80587,171216,171216,152020,323236,186,135,51,165,853,57,310197,161,0.0668229777256741,0.002047476640152878,0.0007884777123633305,0.0003354821733982371,0.0005754309544728929,0.0005190250066892974
treatment_pre_event,44079,41787,87441,87441,78373,165814,60,38,22,54,421,23,160641,52,0.05463182897862233,0.0012922679302175318,0.00043457874452487965,0.0002807089176119327,0.00036185123089727044,0.00032370316419843
treatment_event_month,8288,7811,16047,16047,13160,29207,26,20,6,22,100,7,26311,23,0.07,0.002816540775828959,0.0012463388795413474,0.0004559270516717325,0.0008901975553805595,0.0008741590969556459
treatment_post_event,33536,30989,67728,67728,60487,128215,100,77,23,89,332,27,123321,86,0.08132530120481928,0.0028719868340378843,0.00113690054334987,0.00038024699522211386,0.0007799399446242639,0.0006973670340006974
treatment_event_and_post,41824,38800,83775,83775,73647,157422,126,97,29,111,432,34,149588,109,0.0787037037037037,0.0028608247422680414,0.0011578633243807819,0.00039377028256412346,0.0008003963867820253,0.0007286680749792764
treatment_unknown_event_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
