time_to_event,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
-14.0,746,692,1349,1349,1190,2539,3,2,1,3,14,2,2461,3,0.14285714285714285,0.004335260115606936,0.0014825796886582653,0.0008403361344537816,0.0011815675462780622,0.001219016659894352
-13.0,2828,2736,5072,5072,4650,9722,3,1,2,3,18,1,9455,2,0.05555555555555555,0.0010964912280701754,0.0001971608832807571,0.00043010752688172043,0.00030857848179386956,0.00021152829190904283
-12.0,2691,2599,8691,8691,8252,16943,4,2,2,4,20,2,16787,3,0.1,0.0015390534821085034,0.00023012311586698885,0.0002423654871546292,0.00023608569910877649,0.0001787097158515518
-11.0,2864,2760,6715,6715,6105,12820,1,1,0,1,21,1,12487,1,0.047619047619047616,0.00036231884057971015,0.0001489203276247208,0.0,7.800312012480499e-05,8.008328661808281e-05
-10.0,3428,3260,6994,6994,6409,13403,3,2,1,3,22,3,13150,3,0.13636363636363635,0.0009202453987730061,0.00028595939376608524,0.00015603058199407084,0.00022383048571215399,0.00022813688212927757
-9.0,3212,3066,6186,6186,5774,11960,0,0,0,0,30,0,11560,0,0.0,0.0,0.0,0.0,0.0,0.0
-8.0,3295,3066,6638,6638,6050,12688,7,5,2,7,31,3,12364,5,0.0967741935483871,0.00228310502283105,0.0007532389273877674,0.00033057851239669424,0.0005517023959646911,0.0004043998705920414
-7.0,3921,3685,7862,7862,7203,15065,0,0,0,0,31,0,14613,0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,3226,2987,6695,6695,5971,12666,9,6,3,7,31,3,12145,8,0.0967741935483871,0.002343488449949782,0.0008961911874533233,0.0005024284039524368,0.0007105637138796779,0.0006587072869493619
-5.0,3530,3330,6808,6808,6151,12959,6,3,3,6,33,1,12416,3,0.030303030303030304,0.0018018018018018018,0.00044065804935370154,0.00048772557307754836,0.0004629986881703835,0.0002416237113402062
-4.0,3204,3046,5442,5442,4831,10273,12,7,5,8,35,2,10011,12,0.05714285714285714,0.0026263952724885093,0.0012862918044836457,0.0010349824052991099,0.001168110581135014,0.001198681450404555
-3.0,3070,2961,5844,5844,4622,10466,4,3,1,4,40,2,9996,4,0.05,0.0013508949679162446,0.000513347022587269,0.00021635655560363478,0.00038218994840435696,0.00040016006402561027
-2.0,3280,3081,5677,5677,5046,10723,4,4,0,4,42,1,10367,4,0.023809523809523808,0.0012982797792924375,0.0007045974986788797,0.0,0.0003730299356523361,0.00038583968361145945
-1.0,4784,4518,7468,7468,6119,13587,4,2,2,4,53,2,12975,4,0.03773584905660377,0.0008853474988933156,0.0002678093197643278,0.0003268507926131721,0.0002943990579230146,0.0003082851637764933
0.0,8288,7811,16047,16047,13160,29207,26,20,6,22,100,7,26311,23,0.07,0.002816540775828959,0.0012463388795413474,0.0004559270516717325,0.0008901975553805595,0.0008741590969556459
1.0,7225,6738,10473,10473,9172,19645,22,20,2,22,71,5,18498,20,0.07042253521126761,0.003265063817156426,0.0019096724911677647,0.00021805494984736154,0.0011198778315092898,0.0010811979673478213
2.0,5862,5372,9520,9520,8354,17874,23,16,7,23,60,5,17055,18,0.08333333333333333,0.004281459419210722,0.0016806722689075631,0.0008379219535551831,0.0012867852747006825,0.0010554089709762533
3.0,4461,4143,7858,7858,6694,14552,5,5,0,5,59,2,14011,5,0.03389830508474576,0.0012068549360366883,0.0006362942224484602,0.0,0.00034359538207806486,0.00035686246520590966
4.0,5121,4854,9757,9757,8479,18236,16,12,4,16,55,5,17679,14,0.09090909090909091,0.003296250515039143,0.0012298862355232141,0.00047175374454534735,0.000877385391533231,0.0007918999943435714
5.0,5665,5233,13578,13578,12394,25972,19,13,6,12,48,5,25333,17,0.10416666666666667,0.0022931396904261416,0.0009574311386065695,0.00048410521219945134,0.0007315570614507932,0.0006710614613350175
6.0,3276,3092,13187,13187,12363,25550,9,7,2,6,18,4,25032,8,0.2222222222222222,0.0019404915912031048,0.0005308258133009783,0.000161773032435493,0.0003522504892367906,0.00031959092361776926
7.0,925,746,1468,1468,1319,2787,6,4,2,5,9,1,2488,5,0.1111111111111111,0.006702412868632708,0.0027247956403269754,0.001516300227445034,0.002152852529601722,0.0020096463022508037
8.0,398,341,693,693,638,1331,0,0,0,0,5,0,1224,0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,159,122,300,300,266,566,0,0,0,0,3,0,515,0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,390,294,844,844,761,1605,0,0,0,0,3,0,1472,0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,54,54,50,50,47,97,0,0,0,0,1,0,84,0,0.0,0.0,0.0,0.0,0.0,0.0
