excluded_top_treatment_repositories,excluded_treatment_repository_names,treatment_period,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
0,,treatment_all,85903,80587,171216,171216,152020,323236,186,135,51,165,853,57,310197,161,0.0668229777256741,0.002047476640152878,0.0007884777123633305,0.0003354821733982371,0.0005754309544728929,0.0005190250066892974
0,,treatment_pre_event,44079,41787,87441,87441,78373,165814,60,38,22,54,421,23,160641,52,0.05463182897862233,0.0012922679302175318,0.00043457874452487965,0.0002807089176119327,0.00036185123089727044,0.00032370316419843
0,,treatment_event_month,8288,7811,16047,16047,13160,29207,26,20,6,22,100,7,26311,23,0.07,0.002816540775828959,0.0012463388795413474,0.0004559270516717325,0.0008901975553805595,0.0008741590969556459
0,,treatment_post_event,33536,30989,67728,67728,60487,128215,100,77,23,89,332,27,123321,86,0.08132530120481928,0.0028719868340378843,0.00113690054334987,0.00038024699522211386,0.0007799399446242639,0.0006973670340006974
0,,treatment_event_and_post,41824,38800,83775,83775,73647,157422,126,97,29,111,432,34,149588,109,0.0787037037037037,0.0028608247422680414,0.0011578633243807819,0.00039377028256412346,0.0008003963867820253,0.0007286680749792764
1,allthingslinux/tux,treatment_all,83182,78448,167235,167235,148534,315769,148,107,41,141,834,50,303344,127,0.05995203836930456,0.0017973689577809504,0.0006398182198702425,0.00027603107705979777,0.0004686970538589919,0.0004186665963394694
1,allthingslinux/tux,treatment_pre_event,42365,40521,85382,85382,76538,161920,35,23,12,33,409,18,157126,31,0.044009779951100246,0.0008143925372029318,0.00026937762057576537,0.00015678486503436202,0.00021615612648221344,0.00019729389152654556
1,allthingslinux/tux,treatment_event_month,8232,7766,15947,15947,13064,29011,26,20,6,22,99,7,26119,23,0.0707070707070707,0.0028328611898017,0.0012541543864049663,0.00045927740355174526,0.0008962117817379614,0.0008805850147402274
1,allthingslinux/tux,treatment_post_event,32585,30161,65906,65906,58932,124838,87,64,23,86,326,25,120175,73,0.07668711656441718,0.0028513643446835316,0.0009710800230631506,0.00039028032308423266,0.0006969031865297425,0.0006074474724360308
1,allthingslinux/tux,treatment_event_and_post,40817,37927,81853,81853,71996,153849,113,84,29,108,425,32,146250,96,0.07529411764705882,0.0028475756057689773,0.0010262299488106729,0.000402800155564198,0.000734486412001378,0.0006564102564102564
2,allthingslinux/tux;getsentry/sentry,treatment_all,55652,50951,105069,105069,89509,194578,124,83,41,117,814,45,182795,103,0.05528255528255528,0.0022963239190594885,0.0007899570758263618,0.00045805449731311934,0.0006372765677517499,0.0005634727426898985
2,allthingslinux/tux;getsentry/sentry,treatment_pre_event,26345,24524,47823,47823,40809,88632,35,23,12,33,396,18,84279,31,0.045454545454545456,0.0013456206165389007,0.00048094013340861094,0.00029405278247445415,0.00039489123567108944,0.0003678259115556663
2,allthingslinux/tux;getsentry/sentry,treatment_event_month,6829,6364,13890,13890,11109,24999,26,20,6,22,98,7,22121,23,0.07142857142857142,0.0034569453174104338,0.0014398848092152627,0.0005401026194977045,0.0010400416016640667,0.001039735997468469
