dataset_source,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
control,111950,107762,40808,40808,33007,73815,136,74,62,116,780,40,68115,113,0.05128205128205128,0.0010764462426458307,0.001813369927465203,0.0018783894325446117,0.0018424439477071055,0.0016589591132643324
treatment,85903,80587,171216,171216,152020,323236,186,135,51,165,853,57,310197,161,0.0668229777256741,0.002047476640152878,0.0007884777123633305,0.0003354821733982371,0.0005754309544728929,0.0005190250066892974
