dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_ncloc
control,730,118,0.586301369863014,1.66803759528478,1.27708243542617,1.2918496708982,0.500108533147479,14085.7219178082
treatment,791,100,0.734513274336283,2.5037903266741,2.0344648254012,1.96019138929335,0.529052125795599,54422.9860935525
