dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.428191489361702,0.791514239427245,0.568167351108385,0.503740706470354,0.5641237842463,2.84209052561109,6.78725604489432,17487.1329787234,70-79,70,80,bounded_band,full,paper,calendar_month,all,strict_band_70_79_full_paper_ncloc_calendar_month_all
treatment,844,100,0.614928909952607,1.33886837191921,1.04716553088982,0.855106517422612,0.600775475824737,3.3907790093758,8.05450751245183,99249.2168246446,70-79,70,80,bounded_band,full,paper,calendar_month,all,strict_band_70_79_full_paper_ncloc_calendar_month_all
