outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel
log_static_analysis_warnings,Static Analysis Warnings,-6,0.0157122362059902,-0.0629910602090569,0.0944155326210372,0.0401547430689016,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,-5,0.0649628813262158,-0.00162730188918175,0.131553064541613,0.033974583273162,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,-4,0.0786732772964595,-0.00591559823971896,0.163262152832638,0.0431575895592747,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,-3,0.122022751641688,0.0143685952454114,0.229676908037964,0.0549255899981003,,TRUE,strict
log_static_analysis_warnings,Static Analysis Warnings,-2,0.04174599553835,-0.0377926236817282,0.121284614758428,0.0405809281735093,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,0,0.0656344478370065,-0.0974129890068503,0.228681884680863,0.083187467777478,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,1,0.100100674752784,-0.0716575273709558,0.271858876876523,0.087631735777418,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,2,0.139490210439806,-0.0500633057422516,0.329043726621863,0.0967109776439067,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,3,0.0324308256465806,-0.155972232480229,0.22083388377339,0.096124009248372,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,4,0.0940950646252145,-0.10295063643954,0.291140765689969,0.100533520951405,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,5,0.123212983207452,-0.0280454719707035,0.274471438385607,0.0771726812133444,,FALSE,strict
log_static_analysis_warnings,Static Analysis Warnings,6,0.112413262422353,-0.0910500660369165,0.315876590881623,0.103807820642485,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,-6,0.00749441671532785,-0.122513311709361,0.137502145140017,0.0663304736860659,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,-5,-0.0136680420799246,-0.150283726166763,0.122947642006914,0.0697018796361422,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,-4,-0.0600144300963294,-0.213393820697296,0.0933649605046377,0.0782547911229424,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,-3,-0.0180999977392602,-0.182304818873086,0.146104823394566,0.0837779699662378,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,-2,-0.0796806190667229,-0.172107638706232,0.0127464005727864,0.047156642673219,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,0,-0.107682375158482,-0.306669685325261,0.0913049350082972,0.101524137840193,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,1,-0.103750247295143,-0.312590352460311,0.105089857870024,0.106551074063861,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,2,-0.147049164638442,-0.377082621998455,0.0829842927215711,0.117364008857149,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,3,-0.271349764818653,-0.492346027453871,-0.0503535021834355,0.11275319522205,,TRUE,strict
log_duplicate_line_density,Duplicate Line Density,4,-0.290232034518,-0.528155285901882,-0.0523087831341185,0.121389413971368,,TRUE,strict
log_duplicate_line_density,Duplicate Line Density,5,-0.241812938169856,-0.495325254659185,0.011699378319472,0.129343018617004,,FALSE,strict
log_duplicate_line_density,Duplicate Line Density,6,-0.0247199045204781,-0.302918888775389,0.253479079734432,0.141938257272914,,FALSE,strict
log_code_complexity,Code Complexity,-6,-0.0329498611471501,-0.0753389706575415,0.00943924836324125,0.0216270966889752,,FALSE,strict
log_code_complexity,Code Complexity,-5,-0.0216405344061361,-0.0569744778038064,0.0136934089915342,0.0180275221416685,,FALSE,strict
log_code_complexity,Code Complexity,-4,-0.0291612265877913,-0.0809521477490767,0.0226296945734941,0.0264239393680028,,FALSE,strict
log_code_complexity,Code Complexity,-3,-0.0379372252633369,-0.0875766271847259,0.0117021766580521,0.0253262254700964,,FALSE,strict
log_code_complexity,Code Complexity,-2,-0.0357492081772726,-0.0811685195329225,0.00967010317837721,0.0231731180385969,,FALSE,strict
log_code_complexity,Code Complexity,0,0.0536368827537516,-0.100351860199621,0.207625625707124,0.0785656851802919,,FALSE,strict
log_code_complexity,Code Complexity,1,0.0483226508179899,-0.163663965907106,0.260309267543086,0.108156437104641,,FALSE,strict
log_code_complexity,Code Complexity,2,0.0373686162775588,-0.197557138582914,0.272294371138031,0.119860079010445,,FALSE,strict
log_code_complexity,Code Complexity,3,0.112808072844022,-0.0735503449839973,0.299166490672041,0.0950808254224588,,FALSE,strict
log_code_complexity,Code Complexity,4,0.0898519998053802,-0.139223746712415,0.318927746323176,0.116875380876426,,FALSE,strict
log_code_complexity,Code Complexity,5,0.183353781713613,-0.0290567404315356,0.395764303858762,0.108372715380178,,FALSE,strict
log_code_complexity,Code Complexity,6,-0.00632083896029337,-0.189060959364814,0.176419281444227,0.0932347553084288,,FALSE,strict
