repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages
WangQrkkk/ThinkingCursor,Python,27,5.0,1.0,11.0,Python: 3771
airweave-ai/airweave,Python,564,472.0,6.0,3418.0,Python: 1019614; TypeScript: 619545; MDX: 30800; CSS: 8216; Shell: 5094; HTML: 1229; Dockerfile: 1075; JavaScript: 1073; Mako: 494
allthingslinux/tux,Python,93,1908.0,35.0,11944.0,Python: 742055; Dockerfile: 2806
appl-team/appl,Python,243,24.0,2.0,9936.0,Python: 351571; HTML: 609; Shell: 168
arjitvermaco/DbDost,Python,58,2.0,1.0,26.0,Python: 34174; HTML: 25715
askjohngeorge/pipecat-lead-qualifier,Python,14,396.0,1.0,22388.0,Python: 111839; TypeScript: 12206; CSS: 1890; Dockerfile: 638; JavaScript: 528
assafelovic/gpt-researcher,Python,20634,2492.0,146.0,34132.0,Python: 431237; TypeScript: 114500; CSS: 18459; JavaScript: 17539; HTML: 11108; Dockerfile: 2886; Shell: 1214; Procfile: 78
atopile/atopile,Python,2054,2489.0,32.0,108255.0,Python: 2160023; C++: 103410; TypeScript: 30583; ANTLR: 11517; CMake: 2916; JavaScript: 2040; Shell: 397
c4fun/tell-stories-webui,Python,40,18.0,1.0,10875.0,Python: 146252
cbardyn/ai-swiss-workflows,Python,54,7.0,1.0,4030.0,Python: 99395
cgevans/qslib,Python,10,447.0,2.0,1237.0,Python: 395024; Rust: 206027
codingforentrepreneurs/Cursor-Django,Python,13,32.0,1.0,77.0,Python: 25063; HTML: 16864
cohnen/mcp-google-ads,Python,14,10.0,1.0,272.0,Python: 55729
daojiAnime/vmq-fastapi,Python,13,38.0,2.0,452.0,Python: 105601; HTML: 15920; Shell: 3286; Dockerfile: 1284; Mako: 523
discus0434/nook,Python,225,19.0,1.0,3127.0,Python: 63351; HTML: 52319; Dockerfile: 617; Makefile: 289
ericmjl/llamabot,Python,135,1656.0,12.0,4822.0,Python: 385531; Jupyter Notebook: 353882; HTML: 20441; CSS: 7743; Dockerfile: 871; JavaScript: 624
