dataset_source,rows,repos,mean_log_static_warnings,mean_log_duplicate_line_density,mean_log_code_complexity,mean_ncloc,mean_age,mean_contributors,mean_stars,mean_issues
treatment,838,100,5.09314293359371,1.17615407651738,7.01041720726796,93059.0202863962,4.95910778588462,1.57760635292489,2.20400405095351,1.2892614265344
control,751,117,4.51459188722931,1.44080140567254,6.28713684774918,17932.9227696405,4.68646321840017,1.29033220796646,1.59768507134955,1.05923119416829
