dataset_source,time_to_event,repo_months,repositories,event_positive_repo_months,zero_event_repo_months,function_change_events,agc_function_change_events,hwc_function_change_events,parse_exclusion_months
control,,780,120,474,306,32973,19593,13380,40
treatment,-14.0,14,14,10,4,437,286,151,2
treatment,-13.0,18,18,15,3,1652,934,718,1
treatment,-12.0,20,20,17,3,3371,1886,1485,2
treatment,-11.0,21,21,16,5,2495,1335,1160,1
treatment,-10.0,22,22,16,6,2953,1610,1343,3
treatment,-9.0,30,30,21,9,2459,1316,1143,0
treatment,-8.0,31,31,21,10,2610,1391,1219,3
treatment,-7.0,31,31,23,8,3170,1873,1297,0
treatment,-6.0,31,31,23,8,2752,1630,1122,3
treatment,-5.0,33,33,27,6,2565,1480,1085,1
treatment,-4.0,35,35,23,12,2317,1327,990,2
treatment,-3.0,40,40,31,9,3054,1912,1142,2
treatment,-2.0,42,42,36,6,3021,1835,1186,1
treatment,-1.0,53,53,40,13,4524,2628,1896,2
treatment,0.0,100,100,90,10,8000,4667,3333,7
treatment,1.0,71,71,52,19,4721,2770,1951,5
treatment,2.0,60,60,42,18,4591,2563,2028,5
treatment,3.0,59,59,39,20,3429,2014,1415,2
treatment,4.0,55,55,36,19,4391,2475,1916,5
treatment,5.0,48,48,35,13,9216,4179,5037,5
treatment,6.0,18,18,14,4,7718,4399,3319,4
treatment,7.0,9,9,8,1,1133,606,527,1
treatment,8.0,5,5,5,0,430,261,169,0
treatment,9.0,3,3,3,0,128,87,41,0
treatment,10.0,3,3,3,0,314,174,140,0
treatment,11.0,1,1,1,0,46,32,14,0
